author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
Rinat Galiautdinov,Cracking the GoLang Interview: A Complete Preparation Guide,,,Computers & Technology,,,,,2023/07/22,,,,,,B0CCMYMS8C,https://m.media-amazon.com/images/I/81Udy2SvZxL._AC_UY218_.jpg,0.0,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Evelyn Rodas,"No, You Cannot JUST SNAP OUT OF IT! a Memoir for People Dealing with Depression and Anxiety that Extend Beyond Mere Thoughts: Understand CBT, root causes ... mental illness achieve better mental health",,,Self-Help,,,,,2023/09/10,,,,,,B0CCMYQ832,https://m.media-amazon.com/images/I/81bmjGXyRpL._AC_UY218_.jpg,5.0,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Alexa Rossy,SHOWERING WITH THE ALLIGATORS: HOW A JEWISH PRINCESS BECAME TRAILER TRASH,,,Travel,,,,,2023/07/22,,,,,,B0CCMYWTDP,https://m.media-amazon.com/images/I/81NKCIgDmmL._AC_UY218_.jpg,5.0,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Jada Fisher,Dragon Prince (The Last Free Dragon Book 1),,,Teen & Young Adult,,,,,,,,,,,B0CCMZ3JRG,https://m.media-amazon.com/images/I/81TvafAt8EL._AC_UY218_.jpg,4.4,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Christy Barritt,He Walks Among Us: a Chilling Alaskan Mystery (True Crime Junkies Book 2),,,"Mystery, Thriller & Suspense",,,,,,,,,,,B0CCMZD9GL,https://m.media-amazon.com/images/I/819aa-nmCUL._AC_UY218_.jpg,4.7,,,,,,,True,False,False,,,,,,,,,,Amazon.com Services LLC,
Dilia Ramos,Resiliencia: Sanando Heridas del Alma (Spanish Edition),,,Biographies & Memoirs,,,,,,,,,,,B0CCMZNF4F,https://m.media-amazon.com/images/I/81XyVc+PTRL._AC_UY218_.jpg,5.0,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Sean Oswald,Dragon Sorcerer- Tail Smash: A Litrpg Adventure,,,Science Fiction & Fantasy,,,,,,,,,,,B0CCMZT6T8,https://m.media-amazon.com/images/I/81Bw1IXCE6L._AC_UY218_.jpg,4.7,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Jonathan Brooks,Core Domination (Dimensional Dungeon Cores Book 5),,,Science Fiction & Fantasy,,,,,,,,,,,B0CCN1V6CR,https://m.media-amazon.com/images/I/81AJf1UNXOL._AC_UY218_.jpg,4.8,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Alexander Wright,The Brain Book: How to Maximize the Potential of Your Brain Naturally (How to Maximize Your Mental Health Naturally),,,Parenting & Relationships,,,,,,,,,,,B0CCN32HV3,https://m.media-amazon.com/images/I/71wKtvwVScL._AC_UY218_.jpg,4.9,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Charlie Richards,Reconditioning the Wolf (Kontra's Menagerie Book 36),,,LGBTQ+ eBooks,,,,,,,,,,,B0CCN94FLK,https://m.media-amazon.com/images/I/812VomAJBvL._AC_UY218_.jpg,4.5,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
Tabitha Woodbridge,Shadow Work Journal and Workbook: The Essential Guide to Transcending your Shadow and Discovering your True Self,,,Self-Help,,,,,2023/07/23,,,,,,B0CCNFXSZZ,https://m.media-amazon.com/images/I/71fhzAbZ8UL._AC_UY218_.jpg,4.7,,,,,,,False,False,False,,,,,,,,,,Amazon.com Services LLC,
