author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
"50 Cent, Robert Greene (Goodreads Author)",The 50th Law,,English,,"In The 50th Law, hip hop and pop culture icon 50 Cent (aka Curtis Jackson) joins forces with Robert Greene, bestselling author of The 48 Laws of Power, to write a bible for success in life and work based on a single principle: fear nothing.With intimate stories from 50 Cent's life on the streets and in the boardroom as he rose to fame after the release of his album Get Rich or Die Tryin, as well as examples of others who have overcome adversity through understanding and practicing The 50th Law, this deeply inspirational book is perfect for entrepreneurs as well as anyone interested in the extraordinary life of Curtis Jackson.",,,10/01/08,September 8th 2009,[],Hardcover,"['Business', 'Self Help', 'Nonfiction', 'Psychology', 'Philosophy', 'Personal Development', 'Biography', 'Leadership', 'Audiobook', 'Entrepreneurship']",,9780061774607,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348220810l/6043946.jpg,4.15,[],159.0,2.0,,6043946-the-50th-law,,,,,94.0,7740.0,291,,HarperStudio,"['3388', '2657', '1265', '331', '99']",,,['United States of America'],,
A'Mera Frieman,Victoria's Beginning,,,,"Breaking the line: Victoria’s Beginning follows the life of young Christian girl, Victoria Roberts. Born with White skin and blue eyes to the embarrassment of her darker skinned parents, Tess and Clyde, Victoria faces rejection and colorism at an early age. Tess and Clyde send Victoria away to Dallas to live with her childless aunts, Charlotte and Mary. Charlotte is a wealthy widow, and Mary is clairvoyant. Mary has seen the difficult road ahead for Victoria if she makes the wrong choices because of her appearance. Because of this, Charlotte, Mary, and Victoria’s maternal grandparents, Chandra and Ed, shower Victoria with love and encourage her unique intelligence and talents to help keep her on the right path. However, Clyde and Tess, along with Clyde’s domineering, voodoo practicing mother, Betts, begin to spitefully interfere and attempt to crush and cower Victoria’s spirit. Can Victoria withstand the vindictive influence of Betts and her parents? Will she be able to remain true to her faith and herself to overcome the trials of her childhood and find her destiny as an adult? Or will she succumb to evil and find herself creating a line that she cannot break?",Victoria's Journey #1,,07/18/13,December 6th 2013,[],ebook,[],,9781310260728,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414089779l/21781544.jpg,4.12,['National Indie Excellence Awards for African-American Fiction (2015)'],98.0,1.0,,21781544-victoria-s-beginning,,,,,88.0,17.0,,,Smashwords Edition,"['10', '2', '3', '1', '1']",,,[],,
A'Mera Frieman,Victoria's Choice,,,,"In Victoria’s Choice, the highly anticipated sequel to the Bestselling Book 1, Victoria’s Beginning, Victoria discovers that the decision she made on her wedding day has terrible consequences. Trapped by her own hand in an abusive marriage, Victoria allows the darkness to give her comfort in her despair. She travels back to Carson, and we catch up with some of our favorite characters: Big Mama Chandra, Grandpa Ed, and her aunts, Charlotte and Mary. Temptation rears its head in the form of a lost love, but a heartbreaking loss gives Victoria the strength to finally face her parents, Clyde and Tess. Victoria begins to question Mary’s visions that her child will break the line, and she becomes depressed when no such child appears. Frustrated and discouraged, Victoria finds a light in the darkness. However, has she missed her chance to “break the line”, or will she finally be able to make the right choice to find her joy?",Victoria's Journey #2,,12/19/13,December 21st 2013,[],ebook,[],,9781311888679,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412284821l/21782752.jpg,4.4,[],97.0,1.0,,21782752-victoria-s-choice,,,,,100.0,5.0,,,Smashwords Edition,"['3', '1', '1', '0', '0']",,,[],,
A'Mera Frieman,The Legacy,,English,,"The Legacy is the fourth and final book of the Victoria's Journey series. Bestselling author, A'Mera Frieman, has taken readers on an incredible journey into the fictional drama, based on her mother's life as a single mother trying to raise her children in a world of poverty, ridicule, and prejudice while holding firm to her strength and Christian values.  Victoria returns home to Carson to repair the damage to her family from Harlan's selfish choices. The struggles that she faces in raising her six children alone with limited help from her surrounding family begin to take their toll on Victoria's health. She discovers love at last in the arms of William but finds obstacles in their way to happiness in her own insecurities and his mother's interference. Victoria is challenged to accept the shred of darkness that remains in her spirit to protect her family. As her body begins to deteriorate, Victoria finds solace in her youngest daughter, Valora, especially when her twin daughters, Gia and Leah, unleash their bitterness and rage from the past. Victoria faces incredible losses and the lingering darkness that waits in the shadows to reconnect the line. Will Victoria surrender in the face of regret, Gia and Leah's bitterness, and her blind devotion to Valora? Or will her wisdom and legacy destroy the darkness once and for all? ",Victoria's Journey #4,,,May 8th 2015,[],Kindle Edition,[],,B00WTNE1E2,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431104121l/25505799.jpg,4.0,[],100.0,1.0,,25505799-the-legacy,,,,,100.0,2.0,175,,Breaking the Line Books,[],,,[],,
"A'Mera Frieman, Heather Fuller (Illustrations)",Joy,,English,,"Joy, the third installment of the popular Victoria's Journey series, reveals Victoria's enduring hope in her search to strengthen her faith in God and finally break Betts' evil hold on her soul. Still trapped in a loveless marriage, Victoria is presented with the ammunition that she needs for a divorce, but Harlan refuses to let her go. Victoria finds comfort and joy in the special new addition to her family; however, she pays the price in the growing darkness of two of her children. When confronted by Harlan's affairs, a new evil, and a lost love, Victoria looks to her family for strength and support but finds the family that she's always leaned on shaken by heartbreaking losses. Will Victoria succumb to the pain of her sorrow and stay in a loveless marriage, or has she finally found the confidence and courage to ""break the line""?",Victoria's Journey #3,,07/30/14,July 31st 2014,[],Paperback,[],,9781500679576,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432104409l/22974288._SY475_.jpg,4.0,[],99.0,1.0,,22974288-joy,,,,,100.0,2.0,160,,Createspace Independent Publishing Platform,[],,,[],,
A. Bates,Final Exam,,English,,"Kelly has always been afraid of final exams. Now she's scared to death.Something strange has been going on all week....something weird. It started with someone playing a few pranks on her at school. Trashing her locker. Stealing her purse. Then the pranks turned deadly.Someone doesn't want Kelly to graduate. They've prepared a special final exam, just for her. And she'd better not have any wrong answers ... because her life depends on it.",Point Horror,,,May 1st 1990,[],Paperback,"['Young Adult', 'Horror', 'Thriller', 'Fiction', 'Mystery', 'Childrens', 'Teen', 'Mystery Thriller', 'Suspense']",,9780590432917,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1262303980l/335693.jpg,3.54,[],55.0,1.0,,335693.Final_Exam,,,,,88.0,589.0,201,,Scholastic,"['128', '144', '244', '64', '9']",,,[],,
A. Cort Sinnes (Goodreads Author),In Your Own Backyard: How to Create and Enjoy Your Own Private Retreat,,English,,"Playful, sensitive, and imaginative, this is the essential handbook for turning any backyard into a haven of outdoor fun. Sinnes walks readers down an enchanting path through their very own yards, showing them how to create the best possible environment for outdoor living. Full color.",,,02/29/92,March 1st 1992,[],Paperback,[],,9780836279887,,,4.5,[],99.0,1.0,,4310056-in-your-own-backyard,,,,,100.0,2.0,127,,Andrews McMeel Publishing,[],,,[],,
A. Drew,The Dowling House,,,,"Since 1954, the Dowling House remained unoccupied until George and Melissa purchased it, hoping to renovate it for a profit. Their dream for a new lucrative business encounters a few challenges, but they can be easily overcome….or can they? Join George and Melissa on their amazing journey into the supernatural, but be warned, it is very engaging and you might not get out alive. ",Dark Terror #1,,,November 12th 2017,[],Kindle Edition,"['Horror', 'Fiction', 'Paranormal']",,B077CXFQSB,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510572323l/36587026._SY475_.jpg,4.23,[],98.0,1.0,,36587026-the-dowling-house,,,,,94.0,35.0,113,,Drew Publications,"['15', '15', '3', '2', '0']",,,[],,
A. Drew,BARBATUS,,,,"Barbatus was an all-powerful handsome shifter, living far away from human society. Aylin, a beautiful very ill woman with a checkered past, frantically escapes from the fury of a township. Fate steps in and throws them together, as they are taken through a journey which will test their personal strengths, both mentally and physically. The bond that they share will not only inspire but also influence an entire generation.",,,,January 3rd 2018,[],Kindle Edition,[],,B078SXVB79,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515112029l/37828755._SY475_.jpg,4.17,[],100.0,1.0,,37828755-barbatus,,,,,92.0,12.0,144,,Drew Publications,"['7', '2', '2', '0', '1']",,,[],,
A. Hatto,The Nibelungenlied,,,Literary Collections,"Written by an unknown author in the twelfth century, this powerful tale of murder and revenge reaches back to the earliest epochs of German antiquity, transforming centuries-old legend into a masterpiece of chivalric drama. Siegfried, a great prince of the Netherlands, wins the hand of the beautiful princess Kriemhild of Burgundy, by aiding her brother Gunther in his struggle to seduce a powerful Icelandic Queen. But the two women quarrel, and Siegfried is ultimately destroyed by those he trusts the most. Comparable in scope to the Iliad, this skilfully crafted work combines the fragments of half-forgotten myths to create one of the greatest epic poems - the principal version of the heroic legends used by Richard Wagner, in The Ring.",,,,1965.0,,,,0140441379,9780140441376,,http://books.google.com/books/content?id=nCV_E8HJkNUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87,,,,,,,,,,,,404.0,,,,3893.0,,,,
