Estelle Maskame (Goodreads Author),Did I Mention I Miss You?,,,,"It’s been a year since Eden last spoke to Tyler. She remains furious at him for leaving her and has moved on with life in Chicago, where she is at University studying psychology. As school breaks up for the summer, she heads back to Santa Monica, but she’s not the only one with that idea…Despite their break-up and Tyler’s abrupt departure last summer, is there something Tyler is keeping from Eden? Are they both as over each other as they thought, and could Eden even begin to forgive Tyler?In Did I Mention I Miss You?, the explosive finale to Estelle Maskame’s phenomenal DIMILY trilogy, can Tyler and Eden finally work things out, against all the odds?",DIMILY #3,,,July 21st 2016,[],Kindle Edition,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Contemporary Romance', 'Young Adult Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen']",,B014JABS20,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460065759l/29852893._SY475_.jpg,4.1,[],273.0,3.0,,29852893-did-i-mention-i-miss-you,,,,,94.0,12592.0,432,,Black & White Publishing,"['5346', '4120', '2326', '616', '184']",,,[],,
Estelle Maskame (Goodreads Author),Just Don't Mention It,,,,"Tyler Bruce – hell raiser and bad boy – tells his story in his own words.Alternating between past and present, Just Don’t Mention It is narrated from Tyler’s perspective. We see his life as a twelve-year-old boy suffering physical abuse at the hands of his dad. We see him as the daredevil seventeen-year-old we first met in Did I Mention I Love You?, the stepbrother who falls head over heels for Eden.In these parallel timelines we finally understand the enigmatic Tyler’s complex story and his innermost thoughts – on his dad, his mom, on Tiffani and Eden – all the things Eden wasn’t witness to. And, crucially, the reader gains heartbreaking insight into why Tyler becomes the self-obsessed, angry and unhappy guy we encounter in DIMILY.This utterly addictive rollercoaster of a novel gives voice to one of the most adored characters in Estelle Maskame’s extraordinary international bestseller, Did I Mention I Love You?",DIMILY #4,,11/05/18,June 21st 2018,[],Kindle Edition,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Young Adult Contemporary', 'Erotic Romance', 'Realistic Fiction', 'Abuse', 'Contemporary Romance', 'France']",,B079YGNB95,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523650688l/39005738._SY475_.jpg,4.2,[],95.0,1.0,,39005738-just-don-t-mention-it,,,,,96.0,2986.0,432,,Ink Road,"['1399', '952', '501', '100', '34']",,,[],,
Estelle Vagner,L'exil,,French,,"Ironique destin que d’être née morphe… sans forme animale. Source de honte pour sa famille, Kayla Marchal, petite fille de l’alpha, est également considérée comme le maillon faible de la meute de la Vallée Noire. Aussi en est-elle chassée, elle qui n’a jamais mis un pied hors du territoire.Alors qu'elle commence à goûter à la liberté et à s'intégrer au sein d'un autre clan, les vrais problèmes commencent. Mais déjà trahie une fois par sa meute d’origine, à qui pourrait-elle se fier ? À Ian, le loup aussi beau qu'insupportable ? À Max, le renard au passé mystérieux ? Ou à Jeremiah, l'irrésistible humain ?Et ce fichu karma qui la prive de forme animale continue à se moquer d’elle, car tout le monde autour d’elle semble porter un masque… Inaptitude du passé et problèmes du présent vont venir, main dans la main, perturber la jeune morphe, avec des liens qu’elle était loin de pouvoir soupçonner",Kayla Marchal #1,,04/30/16,April 2nd 2016,[],Paperback,['Urban Fantasy'],,9782375680001,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459630722l/29763318._SX318_.jpg,3.98,[],96.0,1.0,,29763318-l-exil,,,,,92.0,112.0,342,,Editions du chat noir,"['37', '47', '19', '7', '2']",,,[],,
Ester Wier,The Loner,,English,,"The boy with no name doesn't remember his past; all he knows is that he has to survive, and that means picking fruit on various farms across the southwest. Staying with anyone who'll take him, he gives up all his wages for food and a place to sleep. Then he finds a loving home and realizes he is no longer a loner.",,,11/06/63,January 1st 1991,[],Paperback,"['Fiction', 'Historical Fiction', 'Childrens', 'Middle Grade', 'Young Adult', 'Adventure', 'Dogs', 'Juvenile']",,9780590443524,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387707080l/720533.jpg,3.95,"['Newbery Medal Nominee (1964)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1965)""]",93.0,1.0,,720533.The_Loner,,,,,89.0,489.0,151,,Scholastic,"['205', '135', '95', '29', '25']",,,[],,
"Esther Earl, Lori Earl, Wayne Earl, John Green (Goodreads Author) (Introduction)",This Star Won't Go Out: The Life and Words of Esther Grace Earl,,English,,"A collection of the journals, fiction, letters, and sketches of the late Esther Grace Earl, who passed away in 2010 at the age of 16. Photographs and essays by family and friends will help to tell Esther’s story along with an introduction by award-winning author John Green who dedicated his #1 bestselling novel The Fault in Our Stars to her.",,,,January 28th 2014,[],Hardcover,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir', 'Autobiography', 'Teen', 'Contemporary', 'Illness', 'Family', 'Death']",,9780525426363,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392015126l/17675031.jpg,4.16,['Goodreads Choice Award for Memoir & Autobiography (2014)'],566.0,6.0,,17675031-this-star-won-t-go-out,,,,,93.0,15341.0,431,,Dutton Books for Young Readers,"['7389', '4427', '2478', '735', '312']",,,[],,
"Esther Forbes, Lynd Ward (Illustrator)",Johnny Tremain,,English,,"Johnny Tremain, a young apprentice silversmith, is caught up in the danger and excitement of 1775 Boston, just before the Revolutionary War. But even more gripping than living through the drama of Revolutionary Boston is the important discovery Johnny makes in his own life.",,,10/28/43,April 1st 1987,"['John Hancock', 'Mrs. Lapham', 'Dove', 'Johnny Tremain', 'Cilla Lapham', 'Isannah Lapham', 'Dorcas Lapham', 'Madge Lapham', 'Dusty Miller', 'Lavinia Lyte', 'Sam Adams', 'Paul Revere', 'Rab Silsbee', 'James Otis']",Paperback,"['Historical Fiction', 'Fiction', 'Classics', 'Young Adult', 'Childrens', 'Historical', 'School', 'Middle Grade', 'War', 'American Revolution']",,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529294679l/816870._SX318_.jpg,3.64,['Newbery Medal (1944)'],876.0,14.0,,816870.Johnny_Tremain,,,,,86.0,40959.0,322,,Yearling,"['10388', '13577', '11154', '3743', '2097']",,,"['Boston, Massachusetts (United States)', 'Massachusetts (United States)']",,
Esther Freud,The Sea House,,English,,"The architect Klaus Lehmann loves his wife, Elsa, with a passion that continues throughout their married life despite long periods of separation. Almost half a century after Lehmann's death in the village of Steerborough, a young woman, Lily, arrives to research his life and work. Pouring over Klaus's letters to Elsa, Lily pieces together the story of their lives together and apart. And alone in her rented cottage by the sea, she begins to sense an absence in her own life that may not be filled by simply going home.The Sea House is the story of the village of Steerborough and the marshes and the sea beyond. It is the story of one generation living in the footprints of another; of a landscape shaped by lives, and lives shaped by landscape. With characteristic skill and a new depth and range, Esther Freud explores the twisting paths that people take -- and the places where those paths meet.This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",,,,2003,[],Paperback,"['Fiction', 'Contemporary', 'Literature', 'British Literature', 'Roman']",,9780141011073,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347470843l/1178730.jpg,3.42,[],90.0,1.0,,1178730.The_Sea_House,,,,,85.0,607.0,279,,Penguin,"['73', '228', '212', '69', '25']",,,[],,
Esther Freud,Hideous Kinky,,,,"The debut novel from the author of Summer at Gaglow, called ""a near-seamless meshing of family feeling, history and imagination"" by the New York Times Book Review. Escaping gray London in 1972, a beautiful, determined mother takes her daughters, aged 5 and 7, to Morocco in search of adventure, a better life, and maybe love. Hideous Kinky follows two little English girls -- the five-year-old narrator and Bea, her seven-year-old sister -- as they struggle to establish some semblance of normal life on a trip to Morocco with their hippie mother, Julia. Once in Marrakech, Julia immerses herself in Sufism and her quest for personal fulfillment, while her daughters rebel -- the older by trying to recreate her English life, the younger by turning her hopes for a father on a most unlikely candidate. Shocking and wonderful, Hideous Kinky is at once melancholy and hopeful. A remarkable debut novel from one of England's finest young writers, Hideous Kinky was inspired by the author's own experiences as a child. Esther Freud, daughter of the artist Lucian Freud and great-granddaughter of Sigmund Freud, lived in Marrakech for one and a half years with her older sister Bella and her mother.",,,01/30/92,,[],,"['Fiction', 'Africa', 'Travel', 'Morocco', 'Contemporary', 'Novels', 'Family', 'Coming Of Age', 'Modern', 'Womens']",,9780241131794,,,3.48,[],97.0,1.0,,1159958.Hideous_Kinky,,,,,86.0,3199.0,,,,"['485', '1108', '1161', '352', '93']",,,"['Morocco', 'Marrakech (Marrakesh) (Morocco)']",,
Esther H. Schor,Emma Lazarus,,,Biography & Autobiography,"A definitive portrait of the iconoclastic poet and activist whose words are are set on the Statue of Liberty follows the complex life and times of Emma Lazarus, from her early literary success, to her roles as a feminist, Zionist, and renowned Jewish-American writer, based on previously undiscovered personal correspondence. 20,000 first printing.",,,,2006.0,,,,0805242163,9780805242164,,http://books.google.com/books/content?id=UqzfkGd0sMwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,,,,,,,,,,,,368.0,,,,27.0,,,,
Esther Hautzig,The Endless Steppe: Growing Up in Siberia,,English,,"It is June 1941. The Rudomin family has been arrested by the Russians. They are ""capitalists' enemies of the people."" Forced from their home and friends in Vilna, Poland, they are herded into crowded cattle cars. Their destination: the endless steppe of Siberia.For five years, Esther and her family live in exile, weeding potato fields and working in the mines, struggling for enough food and clothing to stay alive. Only the strength of family sustains them and gives them hope for the future.",,,10/30/68,June 12th 2018,[],Paperback,"['Historical Fiction', 'Young Adult', 'Fiction', 'Russia', 'Historical', 'World War II', 'Childrens', 'War', 'School', 'Holocaust']",,9780064405775,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319725993l/296384.jpg,3.99,"['Lewis Carroll Shelf Award (1971)', 'Sydney Taylor Book Award (1968)', ""Jane Addams Children's Book Award (1969)"", 'Deutscher Jugendliteraturpreis Nominee (0)', 'Boston Globe-Horn Book Award Nominee for Fiction (1968)', ""National Book Award Finalist for Children's Books (1969)""]",129.0,2.0,,296384.The_Endless_Steppe,,,,,94.0,5259.0,256,,HarperCollins,"['1784', '2079', '1064', '217', '115']",,,"['Russian Federation', 'Siberia (Russian Federation)']",,
"Esther Hicks, Jerry Hicks",The Law of Attraction: The Basics of the Teachings of Abraham,,English,,"This book presents the powerful basics of the original Teachings of Abraham. Within these pages, you’ll learn how all things, wanted and unwanted, are brought to you by this most powerful law of the universe, the Law of Attraction. (that which is like unto itself is drawn). You’ve most likely heard the saying Law of Attraction has been alluded to by some of the greatest teachers in history, it has never before been explained in as clear and practical terms as in this latest book by New York Times best-selling authors, Esther and Jerry Hicks.       Learn here about the omnipresent Laws that govern this Universe and how to make them work to your advantage. The understanding that you’ll achieve by reading this book will take all the guesswork out of daily living. You’ll finally understand just about everything that’s happening in your own life as well as in the lives of those you’re interacting with. This book will help you to joyously be, do, or have anything that you desire!",,,10/28/06,December 1st 2006,[],Hardcover,"['Self Help', 'Spirituality', 'Nonfiction', 'Personal Development', 'Psychology', 'New Age', 'Philosophy', 'Inspirational', 'Audiobook', 'Metaphysics']",,9781401917593,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388182626l/343614.jpg,4.13,[],357.0,5.0,,343614.The_Law_of_Attraction,,,,,92.0,17894.0,205,,Hay House,"['8558', '5025', '2959', '833', '519']",,,[],,
