title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
BARBATUS,,[],"Barbatus was an all-powerful handsome shifter, living far away from human society. Aylin, a beautiful very ill woman with a checkered past, frantically escapes from the fury of a township. Fate steps in and throws them together, as they are taken through a journey which will test their personal strengths, both mentally and physically. The bond that they share will not only inspire but also influence an entire generation.",,,,January 3rd 2018,[],Kindle Edition,,B078SXVB79,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515112029l/37828755._SY475_.jpg,4.17,[],100.0,1.0,,,,92.0,12.0,144,Drew Publications,"['7', '2', '2', '0', '1']",,[],,['A. Drew']
Bad Rep,,"['New Adult', 'Romance', 'College', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Music', 'Chick Lit', 'Love', 'Realistic Fiction']"," ""Who gives a damn about their reputation? Oh, that would be me! Especially since mine had gone straight to hell in the span of thirty minutes"". Maysie Ardin is soaking up the summer before her junior year of college, shopping, hanging by the pool and shopping some more. But when her black belt in spending lands her in trouble with her parents, she is forced to take a second job at a local bar to dig herself out of a deep financial pit.She thought she’d be miserable. But then Maysie didn’t count on Jordan Levitt, the hot, pierced and tattooed, drum playing bartender who also happens to be very interested in her. And the feelings are totally mutual.It had the makings of the perfect romantic set up. Boy meets girl. Boy likes girl. Boy has girlfriend? Okay, maybe not.But attraction is a hard thing to ignore and soon Jordan and Maysie find themselves in the middle of a gossip induced firestorm. Maysie has to learn whether she can set aside her fear of public disapproval in order to be with the one she wants. Or will she let the opinions of others dictate her life and her heart?",Bad Rep #1,,,December 21st 2012,"['Maysie Ardin', 'Jordan Levitt']",Kindle Edition,,B00AQQDG1I,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351282857l/16102880.jpg,3.9,[],261.0,3.0,,,,92.0,24612.0,444,,"['7677', '9479', '5417', '1448', '591']",,[],,['A. Meredith Walters']
Beauty's Punishment,,Fiction,Beauty is sold into erotic slavery and forced to obey the orders of the Captain and Mistress Lockley,,,,1984.0,,,0452281431,9780452281431,,http://books.google.com/books/content?id=mJHgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.62,,,,,,,,,233.0,,,21844.0,,,"['A. N. Roquelaure', 'Anne Rice']"
Blanco Sol,,[],"King Sutherland is dead—at least that’s what both friend and foe assume. The war ended almost a year ago, yet King was seriously wounded after the surrender, delaying his return home. Recently recovered, he is on his way back to Texas and the Blanco Sol ranch.Things have changed during his five-year absence. Outlaws stripped the homestead of its herd of Durango White horses and former flame Mercedes Alvaraz is married to Clint Sutherland, King’s brother.Complicating an already strained union, Mercedes’ father is ready to take over the ranch by force, insisting that he has a rightful claim to Blanco Sol, and Clint is accused of robbing stages and wagon trains and murdering the passengers, even women and little children.Sue Ellen, a proud rebel beauty, steals King’s heart, but she hates him because he chose to fight for the Union. King is determined to not only win her affection, but clear his brother’s name and collect a herd of wild Spanish cattle to drive north to the railhead in order to prevent the ranch from being stolen out from under him.",,,11/05/05,June 1st 2005,[],Hardcover,,9780803497306,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374634595l/7502918.jpg,4.26,[],94.0,1.0,,,,94.0,214.0,182,AmazonEncore,"['107', '70', '25', '9', '3']",,[],,['A. H Holt']
Blood Redemption,,[],"Long-legged and powerful, Wes Lane’s palomino leads Red Thornton’s black by barely a length. As Red’s horse quickens, its legs bunching close to its belly, Wes slams his quirt down with every gallop. The black runs steady, advancing until its nose is even with the palomino’s…In the race as in life, cousins Red and Wes are bitter rivals—Wes the spoiled heir of the sprawling White Willow Ranch and Red the son of a humble rancher. In the heat of an argument, Wes is poised to murder an unconscious Red, but, in a panic, kills the onlooking barkeep instead. Red awakens to find himself framed for Wes’s crime and is quickly sentenced and sent off to Yuma. Released from his false imprisonment, Red returns home to find Wes forced into hiding, White Willow taken over by a gang of outlaws, and his own prized mustangs stolen. Setting out to retrieve his property and clear his name no matter the challenge, Red’s plans begin to unfold.But when the outlaws kidnap Wes’s son, Red must forget revenge and join with his enemy to save the innocent child.",,,,February 1st 2008,[],Hardcover,,9780803498907,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267253778l/7114176.jpg,4.21,[],195.0,2.0,,,,92.0,130.0,230,AmazonEncore,"['66', '37', '17', '8', '2']",,[],,['A. H Holt']
By Any Other Name,,[],"Detective Harris was put on the case because he was the best man for the job, but with five unconnected bloody corpses on his hands and no witnesses he was beginning to wonder whether they were ever going to catch the maniac that was loose in the Rosehill area of Ipswich. Life had been good for Emma since she moved to Ipswich. She had a new home, good friends and great job but all that was about to change starting with the first of many phone calls. Roses are white, Blood is red, Look like her, And you'll be dead!",,1st Edition,10/29/12,November 6th 2012,[],Paperback,,9780957453701,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355661472l/17032324.jpg,4.36,[],97.0,1.0,,,,91.0,11.0,314,AJ Brewster,"['6', '4', '0', '1', '0']",,[],,['A. J Brewster']
Blood Relations,,"['Young Adult', 'Mystery', 'Espionage', 'Adventure', 'Fiction', 'Thriller', 'Science Fiction']","They've busted techno-terrorists, outwitted crazed scientists, and taken on nightmare genetic freaks, but Bond Team have never faced anything like this before. The Spy High final exams are two gruelling weeks of simulated espionage missions. Bond Team will be deprived of sleep, food and water. Given dodgy weapons and worse advice. Forced to go up against their own friends. And offered absolutely no respite. If they survive, they'll realise their dreams and graduate from the world's most elite and secretive college. If they fail, they won't even remember they were there. All the friends they've made, all the skills they've learned will be wiped from their minds in an instant. And two days in, the pressure is already starting to show.",Spy High #5,,11/06/03,April 6th 2005,[],Paperback,,9780316780926,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387740275l/147079.jpg,3.83,[],77.0,1.0,,,,91.0,355.0,240,"Little, Brown Young Readers","['99', '134', '89', '28', '5']",,[],,['A. J Butcher']
Bowling for Dummies,,['Sports'],"The fast and easy way to perfect your bowling game Bowling is an inexpensive date, an affordable night out for the whole family, and a fun hangout activity for kids of all ages. Bowling For Dummies reveals the tips, tricks, and rules of play for this iconic American sport.While not every player can hope to bowl 300, you can improve your average and show off for friends, family, and bowling league teammates. Bowling For Dummies provides easy-to-understand instructions for improving your bowling game. The expert tips and advice take you through every step of the game, from selecting the right shoes to the proper way to yell, ""Strike!""Packed with photos and line drawings Step-by-step instructions and illustrations included for all techniques Covers beginner through more advanced techniques Whether you're a casual bowler or on a bowling league, the practical, friendly advice in Bowling For Dummies will have you itching to hit the lanes to try out your new skills.",,,06/03/10,July 6th 2010,[],Paperback,,9780470601594,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347582660l/7937634.jpg,4.0,[],63.0,1.0,,,,92.0,26.0,312,For Dummies,"['10', '8', '6', '2', '0']",,[],,"['A. J Forrest', 'Lisa Iannucci']"
Beautifully Tainted,,"['Romance', 'Amazon', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Drama']","Does running from the past help? Does becoming someone else even for a little while make the pain go away? Join Emily and Matt in their journey to find themselves and possibly each other.  Needing to get away from everything and everyone Emily Jackson decides to let fate decide where she should go. Spinning the globe and landing her finger, fate decided that Maine was where she would end up.  Two years later, Emily has become the new her. She keeps everyone at a distance for her own personal reasons. No one knows the real her. No one knows the pain she holds inside. She’s created a mask and walls that were necessary for her survival. It’s all a front though. She just can’t confront those demons. It’s too hard. She has made a vow to herself to never let another living being in. The pain isn’t worth the connection and bonds that would be formed. Until the new detective arrives.  Matt Anderson needs a change. The tragic events of that day haunt him constantly and he can’t take it anymore. He decides running away is the only way to get away from the constant reminders that consume him. He decides the further away the better and spins the globe. Maine it is then. A new place, new faces, and a new job are exactly what he needs right now. The moment their eyes meet, both Emily and Matt feel the instant connection, but they both decide that they need to ignore it to protect their sanity and hearts. They avoid each other at all costs. But Fate has other plans. Fate brings them together on a night that could’ve had a bad ending.  Can Emily and Matt let go just a little to see where things could lead as more than friends? Can they let go of their demons long enough to realize that what they need most could be each other? Or will they continue to live beautifully tainted?  ****Suitable for those 18 and older due to language, sexual content, and violence,****",The Beautifully Series #1,,,February 13th 2014,[],Kindle Edition,,B00IGAFWY0,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396309850l/21806651.jpg,4.08,[],99.0,1.0,,,,89.0,159.0,239,A.M. Guilliams,"['82', '34', '25', '9', '9']",,[],,['A. M Guilliams']
Back-Up,,"['Romance', 'New Adult', 'Music', 'Contemporary Romance', 'Contemporary', 'Musicians', 'Erotica', 'Adult', 'Chick Lit', 'Erotic Romance']","THERE'S A NEW ROCK STAR IN TOWN AND HIS NAME IS JACK LAIR...Leila Marino’s biggest dream is to become a rock star. A lucky opportunity has her auditioning with an up & coming rock band named Devil’s Lair. The band hires Leila as their back-up singer, signing her up for months in the studio and touring on the road with the sexy bunch. Jack is the quintessential rock star…gorgeous…sexy…a walking orgasm. Jack Lair is the lead singer of Devil’s Lair and his dreams are becoming reality as his band climbs the ladder of success. He’s living the perfect life, and enjoying every minute of it. With a steady stream of sexual conquests that satisfies his raging libido, he thinks he has all he needs in life…until Leila enters it. Jack is not prepared for the sudden pull he feels towards Leila, and struggles daily to deny his attraction is anything more. Leila finds falling for her new boss is constant torment. Both convince themselves friendship is their only option. An intimate moment causes their willpower to collapse, and their erotic love affair to begin. Finding love was a bonus that neither Jack nor Leila anticipated. As they begin their tour together professionally and personally, life couldn’t be any better for the couple. Until a mistake from Jack’s past threatens their new relationship, and their perfect future together.Warning: This book is meant for mature readers who are 18+. It contains explicit language, and graphic sexual content.",Back-Up #1,,07/25/13,November 11th 2013,[],Kindle Edition,,B00EK4LGCS,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384631998l/18809474.jpg,4.04,[],99.0,1.0,,,,93.0,7721.0,392,A.M. Madden; First edition,"['2979', '2841', '1343', '367', '191']",,[],,['A. M Madden']
