title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Final Exam,,"['Young Adult', 'Horror', 'Thriller', 'Fiction', 'Mystery', 'Childrens', 'Teen', 'Mystery Thriller', 'Suspense']","Kelly has always been afraid of final exams. Now she's scared to death.Something strange has been going on all week....something weird. It started with someone playing a few pranks on her at school. Trashing her locker. Stealing her purse. Then the pranks turned deadly.Someone doesn't want Kelly to graduate. They've prepared a special final exam, just for her. And she'd better not have any wrong answers ... because her life depends on it.",Point Horror,,,May 1st 1990,[],Paperback,,9780590432917,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1262303980l/335693.jpg,3.54,[],55.0,1.0,,,,88.0,589.0,201,Scholastic,"['128', '144', '244', '64', '9']",,[],,['A. Bates']
Find You in the Dark,,"['Romance', 'New Adult', 'Young Adult', 'Contemporary', 'Contemporary Romance', 'High School', 'Dark', 'Mental Illness', 'Abuse', 'Drama']","Maggie Young had the market on normal. Normal friends, normal parents, normal grades.. normal life. Until him.   Clayton Reed was running from his past and an army of personal demons that threatened to take him down. He never thought he had a chance at happiness. Until her. Maggie thought their love could overcome anything. Clay thought she was all he needed to fix his messy life. That together, they could face the world. But the darkness is always waiting. Sometimes the greatest obstacle to true love is within yourself.",Find You in the Dark #1,,,October 10th 2012,"['Maggie Young', 'Clayton Reed']",Kindle Edition,,B009PBUUDC,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359627731l/16081754.jpg,3.97,[],1089.0,10.0,,,,91.0,26458.0,290,"Amazon Digital Services, Inc.","['9815', '9172', '5033', '1609', '829']",,[],,['A. Meredith Walters']
Fallen,,"['Fantasy', 'Angels', 'Romance', 'Paranormal', 'Young Adult', 'Paranormal Romance']","The “must-read romance” series featured in USA TodayIn Guardian, book one in the popular Guardian Series, readers were captivated by the story of Declan and Alexander and the obstacles they had to overcome for love.Now, in Fallen, Declan and Alexander are finally able to surrender to the powerful desires they were forced to resist. But will they be able to truly put the past to rest? Old enemies return, determined to seek revenge, and an even greater evil is revealed that threatens their hopeful future. In a dangerous game of cat and mouse, the two lovers face a devastating betrayal and find themselves apart when they need each other most. A guardian falls, buried secrets are revealed, and danger is closing in.With romance, passion, and suspense, this story will leave readers believing in true love and unexpected possibilities.Note to readers: The Guardian Series is meant to be read in order: 1. Guardian, 2. Fallen, 3. Revelation (all available now on Amazon)",The Guardian Series #2,,,July 8th 2016,[],Kindle Edition,,B01I6B15IU,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468007383l/30973483._SY475_.jpg,4.12,[],91.0,1.0,,,,95.0,1586.0,222,,"['689', '508', '305', '64', '20']",,[],,['A. J Messenger']
Front & Center,,"['Romance', 'Music', 'Contemporary Romance', 'New Adult', 'Contemporary', 'Musicians', 'Erotica', 'Adult', 'Erotic Romance', 'M F Romance']","Warning: This book is meant for mature readers who are 18+. It contains explicit language, and graphic sexual content.  Jack was a rock star on the way to fame. Leila was following her dream and joining his band as a back-up singer. An insane attraction sparked between them that they couldn’t deny. Attraction quickly led to so much more. They ignored all the warnings and fell in love.  When the couple embark on their tour, they couldn’t be more excited to travel the country hand in hand on the way to stardom. The road ahead is filled with miles and miles of possibilities. Along with their band, Devil’s Lair, they feel nothing could stop them.  An angry ex-band-mate, a pregnant ex-girlfriend, and never-ending Internet gossip all attempt to wreak havoc on their developing relationship. New love does not mix well with stress, pressure and guilt. Together they face each and every challenge, stubbornly fighting for what they have. Will their determination be enough?",Back-Up #2,,,February 12th 2014,[],Kindle Edition,,B00IFNLR7Y,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436681710l/20806029._SY475_.jpg,4.24,[],100.0,1.0,,,,97.0,5319.0,334,,"['2426', '1951', '759', '140', '43']",,[],,['A. M Madden']
Forever Night,,[],"Being burned before has caused me to tread lightly with the one person that I never thought would want to settle down - my playboy. He has the power to shatter my faith, my trust, and my heart - do I vow to give him forever when nothing is guaranteed? I should walk away, but I crave what he can give me - that’s pleasure and love. Due to sexual situations, this novella is not intended for readers under 18. *Contains adult content and language *One Night Series One Night Vol 1One More Night Vol 2Forever Night Vol 3One More Christmas Vol 4",One Night #3,,,July 31st 2014,[],Kindle Edition,,B00MB13S1E,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405381257l/22593592.jpg,4.33,[],100.0,1.0,,,,93.0,73.0,145,,"['41', '22', '5', '3', '2']",,[],,['A. M Willard']
Fallen Too Far,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult', 'Erotica', 'Love', 'Fiction']","To want what you’re not supposed to have…She is only nineteen.She is his new stepfather’s daughter.She is still naïve and innocent due to spending the last three years taking care of her sick mother.But for twenty-four year old Rush Finlay, she is the only thing that has ever been off limits. His famous father’s guilt money, his mother’s desperation to win his love, and his charm are the three reasons he has never been told no.Blaire Wynn left her small farmhouse in Alabama, after her mother passed away, to move in with her father and his new wife in their sprawling beach house along the Florida gulf coast. She isn’t prepared for the lifestyle change and she knows she’ll never fit into this world. Then there is her sexy stepbrother who her father leaves her with for the summer while he runs off to Paris with his wife. Rush is as spoiled as he is gorgeous. He is also getting under her skin. She knows he is anything but good for her and that he’ll never be faithful to anyone. He is jaded and has secrets Blaire knows she may never uncover but even knowing all of that…Blaire just may have fallen too far.",Rosemary Beach #1,,,December 14th 2012,"['Rush Finlay', 'Blaire Wynn']",Kindle Edition,,B00AOTGI08,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349565157l/16070903.jpg,4.18,['Goodreads Choice Award Nominee for Romance (2013)'],5708.0,67.0,,,,93.0,160648.0,300,Abbi Glines,"['79103', '47020', '22871', '7401', '4253']",,"['Rosemary Beach, Florida (United States)', 'Summit, Alabama (United States)']",,['Abbi Glines']
Forever Too Far,,"['New Adult', 'Romance', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Erotica', 'Chick Lit', 'Adult', 'Fiction', 'Drama']","Rush promised her forever... but promises can be broken. Torn between his love for his family and his love for Blaire, Rush has to find a way to save one without losing the other. In the end one has to be more important. Letting go isn’t easy. Blaire believed in her fairytale... but no one can live in a fantasy. Her love for Rush and desire to have a family keep her believing that they can find a way for this to work. Until she has to make the right decision for her and the baby. Even if it breaks her heart. Can they find the forever that they both want or has it all just gone... too far?",Rosemary Beach #3,US,,June 9th 2013,"['Rush Finlay', 'Blaire Wynn']",Kindle Edition,,B00DAHSFYI,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368151288l/17337562.jpg,4.22,[],1314.0,17.0,,,,95.0,81163.0,292,Abbi Glines,"['39845', '24926', '12163', '3143', '1086']",,"['Rosemary Beach, Florida (United States)', 'Beverly Hills, California (United States)', 'Key West, Florida (United States)']",,['Abbi Glines']
Firdaus e Bareen / فردوس بریں,,"['Classics', 'Novels', 'Historical Fiction', 'Fiction']","The book was first published in 1899. The story of Husain and Zammarrud fallen in the grip of the Assassins take us back to the last days of Hasan Bin Sabah's merciless followers, at the end of which the sect's stronghold, the famous fort of Alamoot, was destroyed by the even more merciless Mongol hordes. Sharar writes famously in the style of a Walter Scott novel, the novel itself being a new literary form in his day. But there are shades of an earlier indigenous genre - the Dastaan - in his work. Yet although he tells a gripping tale, part Scott and part Dastaan, he is not unaware of character. Husain may be credulous, and smitten silly by his love for Zammarrud, but he can still ask Shaikh Vujoodi intelligent questions which the Shaikh can only parry by the display of great wrath and superhuman knowledge. Husain's credulity in accepting his answers immediately has a lot to do with his fear that he would not be allowed to visit his beloved in 'Paradise.' There is a definite modern streak in Sharar's work. His treatment of Zamarrud is different from the usual portrayal of female characters in his day. Zamarrud has a mind of her own. She is observant and intelligent and capable of rebuffing her lover when he sounds credulous and foolish. No old fashioned perceptions of female 'duty' or the superior status of men holds her back from realizing that she is more clear-headed than Husain. She is moreover not mild of manner or adulatory of her man, as the prototypes of female perfection tend to be in Urdu literature of the day. Yet non of this detracts from her femininity, as she runs around 'like a delicate, fleet-footed doe' but fully determined to have her way. Much has been written about the Assassins in English and other languages. Sharar's novel has its own charm, and given a chance it should become a very popular book. Translated into Tajik, Sharar's works have quite a lot of readers in Tajikistan, where they are also the subject of a Ph.D. dissertation by Vladimir Lanikin.",,,10/30/99,2014,[],Hardcover,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351148739l/15726423.jpg,4.01,[],97.0,1.0,,,,90.0,173.0,165,Sang e Meel Publications,"['75', '51', '29', '10', '8']",,[],,['Abdul Haleem Sharar']
From Lambton to Longbourn,,"['Romance', 'Historical Fiction', 'Regency', 'Fiction', 'Historical', 'Historical Romance', 'Retellings', '19th Century', 'Fan Fiction', 'Adult']",,,,,September 1st 2007,[],Paperback,,9780615148243,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266925415l/1913655.jpg,3.77,[],95.0,1.0,,,,88.0,2102.0,141,Intertidal Press,"['619', '699', '540', '175', '69']",,[],,['Abigail Reynolds']
Fish & Chips,,"['M M Romance', 'Romance', 'Mystery', 'Contemporary', 'Crime', 'LGBT', 'Suspense', 'Gay', 'Thriller', 'Adult']","Special Agents Ty Grady and Zane Garrett are back on the job, settled into a personal and professional relationship built on fierce protectiveness and blistering passion. Now they're assigned to impersonate two members of an international smuggling ring-an out-and-proud married couple-on a Christmas cruise in the Caribbean. As their boss says, surely they'd rather kiss each other than be shot at, and he has no idea how right he is. Portraying the wealthy criminals requires a particular change in attitude from Ty and Zane while dealing with the frustrating waiting game of their assignment. As it begins to affect how they treat each other in private, Ty and Zane realize there's more to being partners than watching each other's backs, and when the case takes an unexpected turn and threatens Ty's life, Ty and Zane will have to navigate seas of white lies and stormy secrets, including some of their own.",Cut & Run #3,,,December 6th 2010,"['Beaumont ""Ty"" Tyler Grady', 'Zane Zachary Garrett', 'Corben Porter', 'Del Porter', 'Dan McCoy', 'Lorenzo Bianci', 'Norina Bianci', 'Vartan Armen']",Paperback,,9781615812264,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389848959l/9578482.jpg,4.47,[],296.0,3.0,,,,98.0,12276.0,280,Dreamspinner Press,"['7320', '3679', '1050', '180', '47']",,"['Queen of the Mediterranean', 'Caribbean', 'Baltimore, Maryland (United States)']",,"['Abigail Roux', 'Madeleine Urban']"
