title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Guardian,,"['Fantasy', 'Angels', 'Paranormal', 'Young Adult', 'Romance', 'Paranormal Romance', 'Supernatural', 'Young Adult Romance', 'Fantasy Romance', 'Unfinished']","Eighteen-year-old Declan Jane is just trying to make it through senior year in San Mar, the Northern California coastal town she’s lived in all her life. Perpetually under the radar, she’s surprised by the pull she feels to a mysterious and attractive new student, Alexander Ronin. Despite all the girls vying for his attention, Declan is the one he’s drawn to, and she finds herself returning his interest. As the intensity of their attraction builds and she discovers the truth behind his appearance in San Mar, he reveals the danger she’s in and why their relationship holds deadly consequences. But as Declan overcomes her fears and fights for her life, the connection between the two lovers may be the only thing that can save them both.Deeply romantic and extraordinarily suspenseful, this story will stay with readers long after the last page is turned.",The Guardian Series #1,,,May 18th 2014,[],Kindle Edition,,B00KF3CJL0,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402545502l/22458745.jpg,3.82,[],93.0,1.0,,,,89.0,3345.0,242,,"['1112', '1011', '838', '271', '113']",,[],,['A. J Messenger']
Girl on a Train,,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Crime', 'Suspense', 'Mystery Thriller', 'Adult', 'Psychological Thriller', 'Contemporary']","Everything points to suicide - but I saw her face...Headstrong Journalist, Anna Rothman knows what suicide looks like - her own husband killed himself five years earlier. When Elly Swift, an agitated passenger beside her on a train, leaves a locket in Anna’s bag before jumping onto the tracks, Anna starts asking awkward questions. But everything points to suicide and the police close the case. Anna, however, believes Elly’s fears for Toby, her young nephew, missing since being snatched from St Stephen’s church six months ago, fail to explain the true reason behind Elly’s distress. Through a series of cryptic clues Elly left behind, Anna starts asking awkward questions, embarking on a dangerous crusade to track down Toby and find Elly’s killer. But nothing is as it seems and Anna opens a can of worms that throws into question the death of her husband, five years earlier - before the threads of the mystery converge in an astonishing conclusion.",,,06/20/13,February 27th 2015,[],Paperback,,9781508647942,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1425942271l/25108299.jpg,3.85,[],83.0,1.0,,,,90.0,17477.0,434,CreateSpace Independent Publishing Platform,"['5386', '6321', '4010', '1224', '536']",,[],,"['A. J Waines', 'Melissa Chambers']"
giveaways,,[],"a science-fantasy adventure for children of 12 and over, set in London and the south of England in the present time. There are underlying elements of magic and mystery within the story and it is the first in a series. One night when Danny is unable to sleep and during a freak thunderstorm, a stupendous lightning bolt flashes through his bedroom window, seeming to strike him, a postbox and a mirror all at once. When he has recovered from the shock, he goes to inspect the still-smoking mirror frame and sees his scared reflection in the glass. Only there is something not quite right about the boy in the mirror...",,1,,February 23rd 2011,[],Paperback,,9999999999999,,,0.0,[],96.0,1.0,,,,,0.0,426,Bronwyn Editions,[],,[],,['A. N Shekarnia']
Glory O'Brien's History of the Future,,"['Young Adult', 'Magical Realism', 'Contemporary', 'Fantasy', 'Fiction', 'Science Fiction', 'Teen', 'Audiobook', 'Dystopia', 'Feminism']","In this masterpiece about freedom, feminism, and destiny, Printz Honor author A.S. King tells the epic story of a girl coping with devastating loss at long last--a girl who has no idea that the future needs her, and that the present needs her even more.Graduating from high school is a time of limitless possibilities--but not for Glory, who has no plan for what's next. Her mother committed suicide when Glory was only four years old, and she's never stopped wondering if she will eventually go the same way...until a transformative night when she begins to experience an astonishing new power to see a person's infinite past and future. From ancient ancestors to many generations forward, Glory is bombarded with visions--and what she sees ahead of her is terrifying: A tyrannical new leader raises an army. Women's rights disappear. A violent second civil war breaks out. And young girls vanish daily, sold off or interned in camps. Glory makes it her mission to record everything she sees, hoping her notes will somehow make a difference. She may not see a future for herself, but she'll do anything to make sure this one doesn't come to pass.",,,,October 14th 2014,[],Kindle Edition,,B00I828860,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389635408l/17453303.jpg,3.8,"['Rhode Island Teen Book Award Nominee (2016)', 'Amelia Elizabeth Walden Award (2015)', 'Andre Norton Award Nominee (2014)', 'NAIBA Book of the Year for Young Adult (2015)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2016)']",97.0,1.0,,,,88.0,9102.0,308,"Little, Brown Books for Young Readers","['2785', '3125', '2131', '733', '328']",,[],,['A. S King']
Gun Control,,['Nonfiction'],"“It’s pretty amazing how uncommon common sense is.”
—A. Powell

In this dialogue, a father discusses with his sons the issue of gun control, and the resulting impact that the infringement on America’s Second Amendment has on society.",,,,April 17th 2013,[],Paperback,,9781484134405,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366247896l/17828257.jpg,4.55,[],90.0,1.0,,,,91.0,11.0,28,CreateSpace,"['9', '0', '1', '1', '0']",,[],,['Aaron B. Powell']
Gods Tomorrow,,"['Science Fiction', 'Mystery', 'Fiction', 'Thriller', 'Dystopia', 'Mystery Thriller', 'Amazon', 'Suspense', 'Science Fiction Fantasy', 'Crime']","We abandoned privacy and turned databases into something like gods. They listened to our prayers. They met our needs and blessed us with new riches. They watched over us, protected us, and punished the wicked among us. We almost made a paradise. But there were those who tried to hide from the databases' all-seeing eye. They used their wealth or power or intellect to turn themselves into ghosts within the endless archive. For years these ghosts have used their anonymity to perpetrate atrocious crimes and slip away unscathed. And now someone among them may go further still. Someone wants to bring the system down. The only thing that stands in his way is the FBI's understaffed and overwhelmed Ghost Targets section. The agent on the case is their newest rookie, Special Agent Katie Pratt, and she's in over her head. The first day on the job gives her an unsolvable murder that ultimately leads her to the greatest threat these gods have ever seen. Can one desperate woman prevent the downfall of her entire society? Gods Tomorrow is the first book in the Ghost Targets series. Approximately 70,000 words.",Ghost Targets #1,,,October 1st 2010,[],Paperback,,9781936559046,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328013106l/9509456.jpg,3.73,[],100.0,1.0,,,,90.0,567.0,210,Consortium Book Sales & Distribution,"['135', '214', '163', '41', '14']",,[],,['Aaron Pogue']
Getting Over Garrett Delaney,,"['Young Adult', 'Romance', 'Contemporary', 'Chick Lit', 'Fiction', 'Realistic Fiction', 'Teen', 'Young Adult Romance', 'Young Adult Contemporary', 'High School']","Can a twelve-step program help Sadie kick her unrequited crush for good? Abby McDonald serves up her trademark wit and wisdom in a hilarious new novel.Seventeen-year-old Sadie is in love: epic, heartfelt, and utterly one-sided. The object of her obsession — ahem, affection — is her best friend, Garrett Delaney, who has been oblivious to Sadie’s feelings ever since he sauntered into her life and wowed her with his passion for Proust (not to mention his deep-blue eyes). For two long, painful years, Sadie has been Garrett’s constant companion, sharing his taste in everything from tragic Russian literature to art films to '80s indie rock — all to no avail. But when Garrett leaves for a summer literary retreat, Sadie is sure that the absence will make his heart grow fonder — until he calls to say he’s fallen in love. With some other girl! A heartbroken Sadie realizes that she’s finally had enough. It’s time for a total Garrett detox! Aided by a barista job, an eclectic crew of new friends (including the hunky chef, Josh), and a customized self-help guide, Sadie embarks on a summer of personal reinvention full of laughter, mortifying meltdowns, and a double shot of love.",,,,January 24th 2012,[],Hardcover,,9780763655075,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316979607l/12154294.jpg,3.75,[],100.0,1.0,,,,90.0,6062.0,336,Candlewick,"['1596', '2137', '1714', '463', '152']",,[],,['Abmcdonald']
Golden Stories of Umar Ibn Al-Khatab,,"['Islam', 'Biography', 'Religion']","This book highlights the interesting and valuable stories of ‘Umar’s life. In this book the author deliberately left the stories without a sequence, so that each story is read by itself with ease. This is intended to be a unique approach in presentation and reading of Islamic books. This book describes the fact that 'Umar was exceptional in his Faith, distinguished in his knowledge, profoudly wise in his thinking, remarkable in his eloquence, noble in his manners and great in the contributions he made to this Nation.",,,01/01/12,January 7th 2014,[],ebook,,B00DMI6XN0,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379397495l/18513845.jpg,4.69,[],65.0,1.0,,,,96.0,170.0,476,Darussalam Publishers,"['138', '23', '3', '1', '5']",,[],,"['Abdul Malik Mujahid', 'Darussalam']"
Golden Stories of Sayida Khadija (R.A),,"['Islam', 'Biography']","Khadijah (R.A), the first wife of Muhammad (P.B.U.H), is a shinning example to all Muslim men and Women. Even during pre-Islamic times, she was known as Tahirah- the pure and righteous. This collection of authentic accounts, highlights her intelligence, commitment to religion, sincere belief in God and perseverance under the most difficult of circumstances. it literally transports the reader back in time to the very beginning of Islam, providing deep insights into her life and those of her children and grandchildren. this book is a wonderful, well-researched addition to the body of biographical work encompassing the lives of the Prophet (P.B.U.H), his family, companions and followers.",,,01/01/12,December 15th 2013,[],ebook,,B00FQJANNO,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387277452l/18715732.jpg,4.48,[],70.0,1.0,,,,93.0,88.0,196,Darusalam Publishers,"['64', '13', '5', '1', '5']",,[],,"['Abdul Malik Mujahid', 'Darussalam']"
Golden Boy,,"['Fiction', 'Young Adult', 'LGBT', 'Contemporary', 'Queer', 'Adult', 'Coming Of Age', 'Intersex', 'Realistic Fiction', 'Adult Fiction']","The Walker family is good at keeping secrets from the world. They are even better at keeping them from each other. Max Walker is a golden boy, with a secret that the world may not be ready for. This novel is a riveting tale of a family in crisis, a fascinating exploration of identity, and a coming-of-age story like no other.",,,05/09/13,May 21st 2013,[],Hardcover,,9781476705804,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363611172l/15803173.jpg,4.09,"['ALA Alex Award (2014)', 'Lambda Literary Award Nominee for LGBT debut fiction (2014)']",89.0,1.0,,,,94.0,7776.0,347,Atria Books,"['3087', '2927', '1285', '327', '150']",,[],,['Abigail Tarttelin']
