author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
I James Forrest,Orion Surfacing,,English,,"With rich and colourful detail, Orion Surfacing takes its readers from the cold darkness of space to the lush greenery and welcoming waters of the tropics, as a brilliant young scientist delves into a mystery that has been unravelling in the jungles of Guatemala and beneath the ocean’s waves for more than a thousand years. But just as the pieces start to fall together, the realization that he is not alone in his search threatens to blow his world apart in a hail of bullets, and the fiery whoosh of gasoline igniting on the water’s surface. Undeterred, he continues on with the help of unlikely allies, and mysterious beings whom he struggles to understand. When the dust settles... everything he knows about the world, and himself, will be called into question, and nothing will ever be the same.",,,,August 12th 2015,[],Kindle Edition,"['Fiction', 'Drama', 'Contemporary', 'Epic']",,B013VVSPQK,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467538288l/30834524._SY475_.jpg,4.28,[],434.0,5.0,,30834524-orion-surfacing,,,,,95.0,345.0,349,,FriesenPress,"['155', '150', '23', '15', '2']",,,[],,
I. D. Cortez (Goodreads Author),Suspect 21 (The Perfect Medium Book 1),,,,,,,,May 28th 2020,[],Kindle Edition,[],,B089DSR9K1,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592000516l/53984364._SX318_.jpg,5.0,[],98.0,1.0,,53984364-suspect-21,,,,,100.0,3.0,,,,[],,,[],,
"I.A. Ibrahim, William Peachy (Editor), Michael Thomas (Editor), Harold S. Kuofi (Editor)",A Brief Illustrated Guide to Understanding Islam,,English,,"This introductory book on Islam serves as a good da'wah tool, explaining some of the fundamentals of Islam, as well signifying verses of the Qur'an and how they relate to science and the world around us. This Islamic guide is for non-Muslims who would like to understand Islam, Muslims (Moslems), and the Holy Quran (Koran). It is rich in information, references, bibliography, and illustrations. It has been reviewed and edited by many professors and well-educated people. It is brief and simple to read, yet contains much scientific knowledge",,2nd edition,10/29/96,May 1st 1997,[],Paperback,"['Islam', 'Religion', 'Nonfiction', 'Spirituality', 'Reference']",,9789960340111,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1295684872l/471174.jpg,3.93,[],197.0,2.0,,471174.A_Brief_Illustrated_Guide_to_Understanding_Islam,,,,,84.0,615.0,76,,Darussalam Publications,"['293', '121', '103', '64', '34']",,,[],,
I.D. Blind (Goodreads Author),The Billion Dollar Girl,,English,,"The Billion Dollar Girl: a tale of vanity and greed.What will you do for money and fame?How much money do you need?Discover the story about the socialites and their worshippers in this short novella, which makes fun of their decisions and choices, such as quick marriage and divorce, tabloid addiction, immense squandering, wastefulness, and the adulation that surrounds them.",,,,September 30th 2012,[],Kindle Edition,[],,B009K5DV6Q,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349200154l/16061093.jpg,3.5,[],14.0,1.0,,16061093-the-billion-dollar-girl,,,,,75.0,16.0,72,,Sunwood,"['5', '5', '2', '1', '3']",,,[],,
I.M. Nobody,A Book About Absolutely Nothing.,,English,,"A book about absolutely nothing at all. A novel that isn't about any subject at all including fiction, nonfiction, fantasy or anything else that could be written about. This book is solely for entertainment and a conversation piece. Please do not take it seriously.",,First Edition,11/27/12,January 1st 2013,[],Paperback,"['Nonfiction', 'Art']",,9781300589464,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359225404l/17287259.jpg,4.25,[],920.0,10.0,,17287259-a-book-about-absolutely-nothing,,,,,86.0,110.0,89,,I. M. Nobody,"['77', '6', '12', '7', '8']",,,[],,
I.M. Redwright (Goodreads Author),The Sapphire Eruption: An Epic Adventure (The Sword's Choice Book 1),,,,"Once a year, the skies burn red. Upon this day, the Fire Kingdom’s priests perform their ritual: each newborn’s palm is lacerated, opened with a sacred sword, for Firia’s next ruler will be seen to shed no blood. Alas, this can prove a perilous process. When young Nokhail demonstrates his destiny, a wicked imposter attempts to slay the boy. Soldier Lumio intervenes, escaping with defenseless Noakhail—set for distant Aquadom to hide . . . and gather strength.Seventeen years later, Lumio illuminates Noakhail’s true identity, presenting Distra, his rightful sword. Training side by side, the pair devise a plan to reclaim the throne . . . but this will mean ousting a crooked king, whose warriors are everywhere. Should Noakhail hope to triumph, he’ll be forced to look inside himself and tame explosive power on the expedition homeward bound. His path will cut through all four kingdoms—each replete with danger but, in turn, a chance to grow.Meanwhile, in Aquadom’s royal palace, the water sword has chosen its heir, but envy stands to jeopardize an age of fragile peace. Indeed, a war awaits...",,,,January 16th 2020,[],Kindle Edition,['Fantasy'],,B083ZLLL3Q,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579321417l/50528553._SY475_.jpg,4.49,[],100.0,1.0,,50528553-the-sapphire-eruption,,,,,97.0,142.0,526,,,"['92', '34', '12', '2', '2']",,,[],,
I.T. Lucas (Goodreads Author),Dark Stranger: The Dream,,English,,"Smart and Spicy, The Children of The Gods Paranormal Romance Series will keep you at the edge of your seat!A fascinating blend of Mythology, Cyber-war, and a tender Shades of Grey Romance, Dark Stranger – The Dream captivates the hearts and minds of readers around the world.Since the dawn of human civilization, two warring factions of near-immortals – the descendants of the gods of old – have been secretly shaping its destiny. Kian's small clan championing progress, freedom and peace; their powerful enemy propagating ignorance, hate, and war.Leading the clandestine battle from his luxurious L.A. high-rise, Kian is surrounded by family, yet he feels alone. Descending from a single goddess – the only one to survive the ancient cataclysm that wiped out the gods and most of their immortal offspring – clan members are forbidden to each other. And as the only other known immortals are their hated enemies, Kian and his kin have been long resigned to a lonely existence of fleeting trysts with human partners. That is, until Kian's sister Amanda – a researcher of paranormal abilities – makes a game changing discovery; a mortal seeress who she believes is a dormant carrier of their genes. Ever the realist, Kian is skeptical and refuses his sister's plea to attempt the Dormant's activation. But when his enemies learn of the highly coveted soothsayer's existence and attempt to grab her, he rushes her to the safety of his keep. Inexorably drawn to Syssi's shy beauty, Kian is startled by feelings he had sworn off long ago. Tormented by past mistakes, he wrestles with his conscience as he is tempted to explore her budding interest in the spicy passions he favors.When Syssi's paranormal foresight lands her a job at Dr. Amanda Dokani's neuroscience lab, it fails to predict, not only that her boss is an immortal who would drag her into a secret, millennia-old battle over humanity's future, but the professor's imposing brother who would alter her own. Despite his better judgement, will Kian succumb to Syssi's irresistible pull? And will Syssi discover that the man igniting her startlingly dark desires is a nearly two-thousand-year-old immortal?Warning. This book contains hot scenes and adult themes. Reader discretion is advised.",The Children of the Gods #1,1st. Edition,,June 27th 2015,[],Paperback,"['Paranormal', 'Paranormal Romance', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Fiction', 'Supernatural', 'Gods', 'Contemporary']",,9781514335505,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438208431l/26005898._SY475_.jpg,3.65,[],357.0,4.0,,26005898-dark-stranger,,,,,82.0,11613.0,330,,Createspace Independent Publishing Platform,"['3616', '3311', '2546', '1241', '899']",,,[],,
I.V. Olokita (Goodreads Author),Reasons to Kill God,,English,,"“If you are able to write 180 pages of your memoir without putting the pen down, I might let you live…”Klaus Holland loves no one other than himself. He victimizes people for being Jews or for just being alive.He is an old Nazi criminal who escaped to Brazil and was caught and prosecuted. He is now forced to write his memoirs as part of his punishment – the same punishment he used to give Jews at the concentration camp. This punishment makes him remember and re-live his cruelty as the concentration camp commander and as a man.Deus Esperanca learns from his mother that what he believed to be his family’s history, was just a bunch of lies. He discovers that his real father is Klaus Holland – the sadistic Nazi fugitive.Having this information and his father being aware of what he knows, their lives intertwine and create chaos.",,,,December 24th 2018,[],Paperback,"['History', 'World War II']",,9781729400302,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545939407l/43374759._SY475_.jpg,3.96,[],296.0,3.0,,43374759-reasons-to-kill-god,,,,,88.0,114.0,140,,Independently published,"['52', '24', '24', '10', '4']",,,[],,
I.W. Gregorio (Goodreads Author),None of the Above,,English,,"A groundbreaking story about a teenage girl who discovers she was born intersex... and what happens when her secret is revealed to the entire school. Incredibly compelling and sensitively told, None of the Above is a thought-provoking novel that explores what it means to be a boy, a girl, or something in between.What if everything you knew about yourself changed in an instant?When Kristin Lattimer is voted homecoming queen, it seems like another piece of her ideal life has fallen into place. She's a champion hurdler with a full scholarship to college and she's madly in love with her boyfriend. In fact, she's decided that she's ready to take things to the next level with him.But Kristin's first time isn't the perfect moment she's planned—something is very wrong. A visit to the doctor reveals the truth: Kristin is intersex, which means that though she outwardly looks like a girl, she has male chromosomes, not to mention boy ""parts.""Dealing with her body is difficult enough, but when her diagnosis is leaked to the whole school, Kristin's entire identity is thrown into question. As her world unravels, can she come to terms with her new self?",,,,April 7th 2015,"['Kristin Louise Lattimer', 'Samuel Wilmington', 'Faith Wu', 'Vanessa Richardson', 'Darren Kowalski', 'Jessica Riley']",Hardcover,"['LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Teen', 'Intersex', 'Romance']",,9780062335319,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412996409l/22896551.jpg,3.87,[],171.0,2.0,,22896551-none-of-the-above,,,,,92.0,12775.0,328,,Balzer + Bray,"['3864', '4797', '3041', '736', '337']",,,['New York State (United States)'],,
I.W. Gregorio (Goodreads Author),This Is My Brain in Love,,English,,"Jocelyn Wu has just three wishes for her junior year: To make it through without dying of boredom, to direct a short film with her BFF Priya Venkatram, and to get at least two months into the year without being compared to or confused with Peggy Chang, the only other Chinese girl in her grade.Will Domenici has two goals: to find a paying summer internship, and to prove he has what it takes to become an editor on his school paper. Then Jocelyn's father tells her their family restaurant may be going under, and all wishes are off. Because her dad has the marketing skills of a dumpling, it's up to Jocelyn and her unlikely new employee, Will, to bring A-Plus Chinese Garden into the 21st century (or, at least, to Facebook).What starts off as a rocky partnership soon grows into something more. But family prejudices and the uncertain future of A-Plus threaten to keep Will and Jocelyn apart. It will take everything they have and more, to save the family restaurant and their budding romance.",,,,April 14th 2020,[],Hardcover,"['Romance', 'Young Adult', 'Contemporary', 'Mental Health', 'Realistic Fiction', 'Fiction', 'Young Adult Contemporary', 'Mental Illness', 'Audiobook', 'Teen']",,9780316423823,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564503751l/45170387.jpg,3.93,[],99.0,1.0,,45170387-this-is-my-brain-in-love,,,,,94.0,469.0,384,,"Little, Brown Books for Young Readers","['124', '224', '93', '22', '6']",,,[],,
