title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Now We Are Six,,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Fantasy', 'Picture Books', 'Animals', 'Childrens Classics', 'British Literature', 'Juvenile']","When We Were Very Young and Now We Are Six complete the four-volume set of deluxe editions of the Milne and Shepard classic works. Like their companions, the Winnie-the-Pooh 80th Anniversary Edition and The House At Pooh Corner, these beautiful books feature full-color artwork on cream-colored stock. The imaginative charm that has made Pooh the world’s most famous bear pervades the pages of Milne’s poetry, and Ernest H. Shepard’s witty and loving illustrations enhance these truly delightful gift editions.",Winnie-the-Pooh #4,,10/28/27,October 31st 1988,[],Hardcover,,9780525444466,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348199373l/821000._SX318_.jpg,4.33,[],416.0,6.0,,,,96.0,19748.0,101,Dutton Books for Young Readers,"['10944', '5342', '2749', '527', '186']",,[],,"['A. A Milne', 'Ernest H. Shepard']"
Naked or Dead,,"['Dark', 'Romance', 'High School', 'New Adult', 'Contemporary', 'Young Adult', 'Suspense', 'Abuse', 'Contemporary Romance', 'Adult']","Small town, small-minded people, small expectations, and big A-holes.Lilith Deville is the new enigma at Lakeside Preparatory Academy, a prestigious high school by a river and not a lake, which makes sense, not. Already she hates it despite its beautiful landscape.Between riding her dirt bike through the sacred lands of the natives, plotting against those she meets, and holding greasy truckers at gunpoint, Lilith makes no time for love or friendship. Forever the walking mystery (read misery) of her new home and school.That is until Nokosi Locklear catches her eye with his arrogance and a hard, toned body that she’s certain she doesn’t want to climb.Shoved up against a locker by him in her first week, she sets him in her wicked sights.Life is only fun when you have somebody else’s pain to focus on. So long as you stay detached. Something Lilith will find is impossible to do when it comes to Nokosi. A guy with looks but no charm. Strength but no power. Love but no morals. With a serial killer roaming the States, taking victims one by one, a past in Nokosi’s eyes that he tries to hide, and a mother that would rather work than keep her daughters happy, Lilith finds plenty of time to spare and plenty of things to keep herself occupied. Note: This is your only trigger warning. Read at your own risk.",,,,September 3rd 2019,[],Kindle Edition,,B07VDVN86Z,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564139557l/52005601._SX318_SY475_.jpg,4.37,[],100.0,1.0,,,,93.0,1102.0,,,"['684', '232', '114', '49', '23']",,[],,['A. E Murphy']
Non-A,,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Classics', 'Speculative Fiction', 'Adventure', 'Novels', 'Canada', 'Space Opera', 'Fantasy']","Chi è Gilbert Gosseyn? Un uomo cui è morta la moglie? Un agente segreto? Un grande capo? Una semplice pedina in una gigantesca partita a scacchi? Lui stesso non lo sa, e la sua lunga, drammatica ricerca è il filo che lega gli episodi di questo romanzo, tra i grandi classici della fantascienza. Come in una scatola cinese, l’enigma che pesa sul protagonista si apre su altri enigmi sempre più stupefacenti, in un complesso, perfetto congegno narrativo dove si fondono magistralmente suspense e filosofia.",Null-A #1,,11/06/45,October 1st 1973,['Gilbert Gosseyn'],Paperback,,9788842903062,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456147204l/29243363.jpg,3.74,['Retro Hugo Award Nominee for Best Novel (1996)'],88.0,1.0,,,,88.0,4179.0,430,Nord,"['1131', '1419', '1140', '382', '107']",,[],,['A. E van Vogt']
No Longer Safe,,"['Thriller', 'Mystery', 'Psychological Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Contemporary', 'Scotland']","She was your best friend. Now she’s your deadliest enemy – and there’s nowhere to run…When Alice receives an invitation from Karen, her charismatic University friend, to stay in a remote cottage in Scotland, she can’t wait to rekindle their lost friendship. But two more former students arrive – never friends of Alice’s – and as the atmosphere chills, Karen isn’t the warm-hearted soulmate Alice remembers. Barely is the reunion underway before someone is dead and the fragile gathering is pushed to breaking point.As the snow cuts them off from civilisation and accusations fly, Alice finds herself a pawn, sinking deeper into a deadly game she can’t escape.NO LONGER SAFE is a chilling Psychological Thriller that delivers a delicious sting in the tail.",,,,February 4th 2016,[],Kindle Edition,,B018UAAAW4,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449141031l/28090093._SY475_.jpg,3.71,[],97.0,1.0,,,,87.0,3221.0,377,Kindle Direct Publishing,"['840', '1146', '818', '306', '111']",,[],,['A. J Waines']
Nexis,,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fantasy', 'Romance', 'Adventure', 'Young Adult Science Fiction', 'Virtual Reality', 'Action', 'Fiction']","In the domed city of Evanescence, appearance is everything. A Natural Born amongst genetically-altered Aristocrats, all Ella ever wanted was to be like everyone else. Augmented, sparkling, and perfect. Then…the crash. Devastated by her father’s death and struggling with her new physical limitations, Ella is terrified to learn she is not just alone, but little more than a prisoner.Her only escape is to lose herself in Nexis, the hugely popular virtual reality game her father created. In Nexis she meets Guster, a senior player who guides Ella through the strange and compelling new world she now inhabits. He offers Ella guidance, friendship…and something more. Something that allows her to forget about the “real” world, and makes her feel whole again.But Nexis isn’t quite the game everyone thinks it is.And it’s been waiting for Ella.",Tricksters #1,,,December 1st 2015,[],Paperback,,9781633750173,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443909738l/23848242.jpg,4.03,[],95.0,1.0,,,,90.0,395.0,412,Entangled: Teen,"['165', '130', '61', '26', '13']",,[],,['A. L Davroe']
Nefertiti's Heart,,"['Steampunk', 'Fantasy', 'Romance', 'Mystery', 'Historical Fiction', 'Historical', 'Fiction', 'Science Fiction', 'Paranormal', 'Adventure']","Cara Devon has always suffered curiosity and impetuousness, but tangling with a serial killer might cure that. Permanently.1861. Cara has a simple mission in London – finalise her father’s estate and sell off his damned collection of priceless artifacts. Her plan goes awry when a killer stalks the nobility, searching for an ancient Egyptian relic rumoured to hold the key to immortality.Nathaniel Trent, known as the villainous viscount, is relentless in his desire to lay his hands on both Cara and the priceless artifacts. His icy exterior and fiery touch stirs Cara’s demons, or could he lay them to rest?Self-preservation fuels Cara’s search for the gem known as Nefertiti’s Heart. In a society where everyone wears a mask to hide their true intent, she needs to figure out who to trust, before she sacrifices her own heart and life.",Artifact Hunters #1,,02/11/13,February 14th 2013,[],ebook,,9781620071786,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356045098l/16164095.jpg,3.83,['Kindle Book Award for Sci-Fi/Fantasy (2014)'],87.0,1.0,,,,89.0,4890.0,280,Curiosity Quills Press,"['1537', '1690', '1117', '385', '161']",,[],,['A. W Exley']
Night Lords: The Omnibus,,"['Science Fiction', '40k', 'Fiction', 'Fantasy', 'Novels']","The omnibus edition of this gripping science fiction series. Driven by their hatred of the False Emperor, the Night Lords stalk the shadows of the galaxy, eternally seeking revenge for the death of their primarch. Guided by the visions of the prophet Talos, a warband from this sinister Legion struggles to survive in a constant war against the forces of the Imperium. But when they come into conflict with fellow renegades and are hunted by the Eldar of Craftworld Ulthwe, the Night Lords find themselves returning to the scene of their greatest defeat and drawn into a battle they cannot possibly win.",Night Lords #1-3,,05/22/14,June 10th 2014,[],Paperback,,9781849706766,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392575627l/18775059.jpg,4.62,[],99.0,1.0,,,,99.0,590.0,944,Games Workshop,"['412', '137', '34', '6', '1']",,[],,['Aaron Dembski-Bowden']
Never Too Far,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult', 'Erotica', 'Drama', 'Fiction']","He had held a secret that destroyed her world. Everything she had known was no longer true. Blaire couldn’t stop loving him but she knew she could never forgive him. Now, she was back home and learning to live again. Moving on with life… until something happened to send her world spinning once again. What do you do when the one person you can never trust again is the one that you need to trust so desperately? You lie, hide, avoid, and pray that your sins never find you out. 62,776 word count",Rosemary Beach #2,,,February 25th 2013,"['Rush Finlay', 'Blaire Wynn']",ebook,,9781301627448,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356822956l/17029526.jpg,4.19,[],2135.0,29.0,,,,95.0,113658.0,193,Smashwords,"['53382', '36417', '17629', '4572', '1658']",,"['Summit, Alabama (United States)', 'Rosemary Beach, Florida (United States)']",,['Abbi Glines']
Nashaib / نشیب,,[],"عبداللہ حسین کی پانچ کہانیوں اور دو ناولٹ کا مجموعہ جو پہلی مرتبہ 1981ء میں منظر عام پر آیا۔۔
مندرجات، ناولٹ: نشیب، واپسی کا سفر۔
کہانیاں: ندی، سمندر، جلاوطن، دھوپ، مہاجرین۔",,,11/06/81,September 20th 2011,[],Hardcover,,9789693515466,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318719263l/12885741.jpg,4.08,[],93.0,1.0,,,,92.0,53.0,311,Sang-e-Meel Publications,"['22', '19', '8', '2', '2']",,[],,['Abdullah Hussein']
Nadaar Log / نادار لوگ,,[],"Published first in 1996 this novel by Abdullah Hussain is considered as a sequel to his famous Udaas Naslain. The story of this novel takes place during 1897 to 1974. This is the story of a generation that has no urge to protect and fight for its rights, people who have accepted everything as fate and have left themselves to the flow of time. The story really gets a takeoff after 1947 when Pakistan gets independence and the people who fought for certain ideals are pushed to wall by those who happen to be in corridors of power. The novel describes those years of indifference, difficulties and turbulence which first germinate the seeds of undemocratic governments and then it leads to secession of the country in 1971. The novel suggests that this was the period where if truth was upheld the history and the geography of Pakistan would have been different but since people kept silence which tantamount to a sin, so they have to reap the wages of this in shape of disintegrating the federation and losing their brothers. Nadar Loog is the story of a people who had great ideals but were found wanting in action when it mattered to stand and assert. This is the story about poverty of action and deeds that leads a nation and people to a state of flux.",,,11/06/96,2014,[],Hardcover,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318718132l/6365973.jpg,4.05,[],90.0,1.0,,,,91.0,129.0,807,Sang-e-Meel Publications,"['59', '36', '22', '6', '6']",,[],,['Abdullah Hussein']
