title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Pirates of the Caribbean: The Price of Freedom,,"['Pirates', 'Fantasy', 'Historical Fiction', 'Adventure', 'Fiction', 'Historical', 'Young Adult', 'Romance', 'Media Tie In', 'Adult']","Twenty-five-year-old Jack Sparrow is a clean-cut merchant seaman pursuing a legitimate career as a first mate for the East India Trading Company. He sometimes thinks back to his boyhood pirating days, but he doesn't miss Teague's scrutiny or the constant threat of the noose. Besides, he doesn't have much choice-he broke the Code when he freed a friend who had been accused of rogue piracy, and he can no longer show his face in Shipwreck Cove. When Jack's ship is attacked by pirates and his captain dies in the altercation, he suddenly finds himself in command. The wily sailor's skillful negotiations with the pirate captain-who turns out to be a woman from his past-result in a favorable outcome that puts Jack in line for an official promotion.  After making port in Africa, Jack is summoned by Cutler Beckett, who makes him captain of a ship called the Wicked Wench. Beckett gives Jack an assignment. He has heard a legend about a magical island named Zerzura whose labyrinthine bowels are said to contain a glorious treasure. Beckett suspects that one of his house slaves, a girl named Ayisha, is from Zerzura. He asks Jack to take her along on his voyage and seduce her into divulging the island's whereabouts. In payment for his services, Beckett promises Jack a share of the treasure.  But this task isn't as easy as Jack initially believes. Before she agrees to reveal the location of her home, Ayisha insists that Jack take her to the New World to rescue her brother, who has been sold into slavery in the Bahamas. Their voyage is long and arduous, and as they weather a vicious storm and a surprise attack from an old pirate foe, Jack grows to respect and admire Ayisha's bravery. He knows that Beckett intends to enslave her people after robbing them of their treasure, and Jack's moral compass revolts at the idea. It might be possible to deliver Ayisha safely to Zerzura, obtain some of the treasure, and convince Beckett that he never found it . . . but the greedy E. I. T. C. official has eyes everywhere, and if he learns that Jack has foiled his plans, he could take away the thing that Captain Sparrow loves most: his ship-and his freedom.",,,,2011,[],Hardcover,,9781423107040,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327914536l/4558004.jpg,4.2,[],219.0,3.0,,,,92.0,862.0,653,Disney Editions,"['438', '245', '110', '49', '20']",,[],,['A. C Crispin']
Pretty Shade of Grey,,"['M M Romance', 'Romance', 'Disability', 'Contemporary', 'College', 'LGBT', 'Young Adult', 'Gay', 'Gay For You', 'Humor']","A college love story about a guy in a wheelchair and a guy with weird hair. Two unusual people result in an equally unusual relationship.
m/m slash (rough draft).

Status: Complete - Chapters: 13 Word count: 126,864 words Currently taken down for editing and/or publishing preparation.",Pretty Shade of Grey,Rough Draft - Free Online,09/29/04,January 10th 2013,[],ebook,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400437093l/13369227.jpg,4.02,[],88.0,1.0,,,,92.0,577.0,380,Self Published,"['223', '215', '90', '26', '23']",,[],,['A. D Truax']
Possession,,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Mystery', 'Historical', 'Literary Fiction', 'Literature', 'British Literature', 'Poetry']","Possession is an exhilarating novel of wit and romance, at once an intellectual mystery and triumphant love story. It is the tale of a pair of young scholars researching the lives of two Victorian poets. As they uncover their letters, journals, and poems, and track their movements from London to Yorkshire—from spiritualist séances to the fairy-haunted far west of Brittany—what emerges is an extraordinary counterpoint of passions and ideas.Man Booker Prize Winner (1990)",,,10/17/90,10/01/91,"['Maud Bailey', 'Roland Michell', 'Christabel LaMotte', 'Randolph Henry Ash', 'Leonora Stern', 'Mortimer Cropper', 'James Blackadder', 'Beatrice Nest', 'Val', 'Euan MacIntyre', 'Ellen Ash', 'Blanche Glover', 'Sabine de Kerkoz']",Paperback,,9780679735908,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391124124l/41219.jpg,3.88,"['Booker Prize (1990)', 'Irish Times International Fiction Prize (1990)', ""Commonwealth Writers' Prize for Best Book in South Asia and Europe (1991)""]",12477.0,171.0,,,,88.0,72691.0,555,Vintage,"['25738', '23917', '14428', '5566', '3042']",,"['London, England', 'Lincoln, England (United Kingdom)', 'England', 'United Kingdom']",,['A. S Byatt']
Please Ignore Vera Dietz,,"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery', 'Teen', 'Coming Of Age', 'Romance', 'Death', 'Audiobook']","Vera’s spent her whole life secretly in love with her best friend, Charlie Kahn. And over the years she’s kept a lot of his secrets. Even after he betrayed her. Even after he ruined everything. So when Charlie dies in dark circumstances, Vera knows a lot more than anyone—the kids at school, his family, even the police. But will she emerge to clear his name? Does she even want to? Edgy and gripping, Please Ignore Vera Dietz is an unforgettable novel: smart, funny, dramatic, and always surprising.",,,,October 12th 2010,[],Hardcover,,9780375865862,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394240671l/6665671.jpg,3.87,"['Edgar Award Nominee for Best Young Adult (2011)', 'Michael L. Printz Award Nominee (2011)', 'Goodreads Choice Award Nominee for Young Adult Fiction (2010)']",848.0,9.0,,,,91.0,27228.0,327,Alfred A. Knopf Books for Young Readers,"['8211', '10458', '6048', '1715', '796']",,['Pennsylvania (United States)'],,['A. S King']
Precious Diamond when you play for keeps,,[],"Ignored and mistreated by The Parents, young Charlie falls into the ruthless game of street life on the mean streets of Detroit. Soon after adapting to the hardcore ways of hustlers and killers to survive; Charlie knows that this way of life cannot continue.Charlie then loses the greatest love SHE'S ever known. Charlie learns, that like a Precious Diamond the game if FOREVER!",,,,May 8th 2012,[],Kindle Edition,,B0081UL6BS,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395760906l/21561857.jpg,4.5,[],77.0,1.0,,,,,4.0,206,Avn Publications LLC,[],,[],,"['AVN', 'Ashley J. Long']"
Priority,,['Philosophy'],"As mankind inches closer to self-destruction—corruption, greed, religious zealotry and intemperance—Patrick Mitchell struggles to find purpose and order amidst the growing chaos he’s witnessed in the world. As a former Marine serving in the Middle East, then as a college student, Patrick sees the mounting ignorance of mankind. He is distraught by the moral deficiencies and surrendering of principles he has observed. Patrick ignores the temptation of blissful ignorance, instead choosing to pursue wisdom, feeling that a life without examination is not a life worth living. Reflecting on his personal tribulations, Patrick Mitchell considers the future of mankind and has determined one thing alone to be his priority.",Doomsday Diaries,,04/22/13,April 23rd 2013,[],Paperback,,9781483980768,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364430629l/17697959.jpg,4.38,[],89.0,1.0,,,,97.0,32.0,144,CreateSpace,"['19', '7', '5', '1', '0']",,[],,['Aaron B. Powell']
Predestined,,"['Paranormal', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'Ghosts', 'New Adult', 'Demons', 'Death']","You would think after helping save her boyfriend from an eternity in Hell that things would go back to normal. Well, as normal as life can be when you can see souls and your boyfriend is Death. But for Pagan Moore, things are just getting weirder. The high school quarterback and reigning heartthrob, Leif Montgomery, is missing. While the town is in a frenzy of worry, Pagan is a nervous wreck for other reasons. Apparently good ‘ol Leif isn’t your average teenage boy. He isn’t even human. According to Death, Leif doesn’t have a soul. The quarterback may have skipped town but he’s still showing up in Pagan’s dreams... uninvited. Dank has known from the beginning Leif wasn’t human. But he hadn’t worried about a simple soulless creature. Now, he realizes he made a grave mistake. Pagan’s soul has been marked since birth as a restitution, to a spirit so dark not even Death walks near it. Dank knows saving Pagan’s soul won’t be easy but Pagan is his. And he’s already proven he’ll defy Heaven to keep her. If Hell wants a piece of him too, then bring it on.",Existence #2,,03/26/12,March 29th 2012 ,"['Pagan', 'Dank', 'Leif']",Kindle Edition,,B007Q3O7C6,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327068385l/13323842.jpg,4.07,[],710.0,11.0,,,,93.0,37516.0,213,,"['15167', '12929', '6975', '1837', '608']",,[],,['Abbi Glines']
Part & Parcel,,"['M M Romance', 'Romance', 'Contemporary', 'Military Fiction', 'LGBT', 'Adult', 'Contemporary Romance', 'Mystery', 'Fiction', 'Romantic Suspense']","Nick O'Flaherty and Kelly Abbott had their happy ending in sight when a friend’s call for help almost ended with them losing it to the blade of a knife. Now, in the aftermath of near-disaster, both men are trying to heal and move on.Moving on together, though, is harder than either of them realized it would be. Kelly struggles with simply being a lover instead of the Doc, while Nick is mired in his recovery. The distance between them inches along in stilted silence.Desperately seeking solace, Nick finally gathers the courage to sort through the possessions his dear friend and fellow Sidewinder teammate Elias Sanchez left him when he died. Instead of comforting memories, Nick and Kelly find a stack of letters and strict instructions from Eli that prompt them to send out a call for assistance. With Eli’s letters in hand, Sidewinder sets out on one last mission together, seeking peace and absolution from beyond the grave—and from each other.",Sidewinder #3,,,December 19th 2015,[],ebook,,9781626493681,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1443577456l/26819691.jpg,4.17,[],97.0,1.0,,,,94.0,2641.0,302,Riptide Publishing,"['1211', '845', '435', '117', '33']",,"['Washington, D.C. (United States)', 'Boston, Massachusetts (United States)', 'Colorado (United States)', 'Wyoming (United States)', 'Las Vegas, Nevada (United States)']",,['Abigail Roux']
Paris to the Moon,,Biography & Autobiography,"Revisiting a recurring American obsession with the French capital, the author takes a look at Paris and what it means to Americans as he describes his own relationship with the city.",,,,2001.0,,,0375758232,9780375758232,,http://books.google.com/books/content?id=jSqtt5RuP6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.76,,,,,,,,,368.0,,,12094.0,,,['Adam Gopnik']
Paris to the Moon,,"['Travel', 'Nonfiction', 'Memoir', 'France', 'Essays', 'Biography', 'Biography Memoir', 'Autobiography', 'Unfinished', 'Family']","With singular wit and insight, Gopnik weaves the magical with the mundane in a wholly delightful, often hilarious look at what it was to be an American family man in Paris at the end of the twentieth century.Paris. The name alone conjures images of chestnut-lined boulevards, sidewalk cafés, breathtaking façades around every corner--in short, an exquisite romanticism that has captured the American imagination for as long as there have been Americans.In 1995, Adam Gopnik, his wife, and their infant son left the familiar comforts and hassles of New York City for the urbane glamour of the City of Light. Gopnik is a longtime New Yorker writer, and the magazine has sent its writers to Paris for decades--but his was above all a personal pilgrimage to the place that had for so long been the undisputed capital of everything cultural and beautiful. It was also the opportunity to raise a child who would know what it was to romp in the Luxembourg Gardens, to enjoy a croque monsieur in a Left Bank café--a child (and perhaps a father, too) who would have a grasp of that Parisian sense of style we Americans find so elusive.So, in the grand tradition of the American abroad, Gopnik walked the paths of the Tuileries, enjoyed philosophical discussions at his local bistro, wrote as violet twilight fell on the arrondissements. Of course, as readers of Gopnik's beloved and award-winning ""Paris Journals"" in The New Yorker know, there was also the matter of raising a child and carrying on with day-to-day, not-so-fabled life. Evenings with French intellectuals preceded middle-of-the-night baby feedings; afternoons were filled with trips to the Musée d'Orsay and pinball games; weekday leftovers were eaten while three-star chefs debated a ""culinary crisis.""As Gopnik describes in this funny and tender book, the dual processes of navigating a foreign city and becoming a parent are not completely dissimilar journeys--both hold new routines, new languages, a new set of rules by which everyday life is lived. With singular wit and insight, Gopnik weaves the magical with the mundane in a wholly delightful, often hilarious look at what it was to be an American family man in Paris at the end of the twentieth century. ""We went to Paris for a sentimental reeducation - I did anyway - even though the sentiments we were instructed in were not the ones we were expecting to learn, which I believe is why they call it an education.""",,,10/30/00,September 11th 2001,[],Paperback,,9780375758232,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388345313l/7062.jpg,3.76,[],159.0,2.0,,,,90.0,13338.0,368,Random House Trade Paperbacks,"['3521', '4890', '3549', '1017', '361']",,['Paris (France)'],,['Adam Gopnik']
Pan Tadeusz,,"['Classics', 'Polish Literature', 'Poetry', 'Fiction', 'School', 'Poland', 'Historical Fiction', '19th Century', 'Read For School', 'Literature']","An epic tale of country life among the Polish and Lithuanian gentry in 1811-1812, PAN TADEUSZ by Adam Mickiewicz is perhaps Poland's best-known literary work and has been translated into almost every European language. This bilingual edition, with side by side Polish and English, features Kenneth R. Mackenzie's celebrated English translation.The plot has the typical elements of a romantic, historical novel: a feud between two ancient families, a love story crossed by the feud, a mysterious figure who dominates the action, and a number of eccentric subordinate characters humorously depicted.To Poles of all generations, the life, the scenes, and the characters embody the ideals, sentiments and way of life of the whole nation.",,,10/28/34,January 1st 1992,[],Paperback,,9780781800334,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179164001l/881508.jpg,3.35,[],282.0,3.0,,,,76.0,7428.0,598,Hippocrene Books,"['1482', '1996', '2155', '1220', '575']",,['Nowogródek'],,"['Adam Mickiewicz', 'Kenneth R. MacKenzie']"
