author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
Qasim Rashid (Goodreads Author),The Wrong Kind of Muslim: An Untold Story of Persecution & Perseverance,,English,,"The Wrong Kind of Muslim is a call to unite those of all faiths and of no faith in the struggle for universal freedom of conscience. Since 9/11, terrorists in Pakistan have killed over 40,000—and counting. Often risking his life, Qasim Rashid journeys into the heart of that terrorism to unearth the untold story of those silenced by Taliban suicide bombings, secret police torture, and state sponsored religious persecution. Rashid exposes the horrifying truth about growing radicalism in Pakistan and its impact on Western security. But most importantly, Rashid uncovers the inspiring untold story of millions fighting back—and winning.",,,,May 28th 2013,[],Paperback,"['Religion', 'Nonfiction', 'Islam', 'Pakistan', 'History']",,9780989397704,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411594714l/18104862.jpg,4.44,[],100.0,1.0,,18104862-the-wrong-kind-of-muslim,,,,,95.0,160.0,254,,AyHa Publishing,"['103', '36', '13', '5', '3']",,,[],,
Qudratullah Shahab,Shahabnama / شہاب نامہ,,Urdu,,"یہ کتاب قدرت اللہ شہاب کی خور نوشت ہے۔ ایک بھرپور زندگی کے ہنسنے ہنسانے، رونے رلانے والے واقعات کا حیرت ناک اور عبرتناک مرقع۔ ماضی اور حال کے آئینے میں پاکستان کے مستقبل کی عکاسی۔ یہ کتاب سربراہوں کی کج رویوں، سیاست دانوں کی ہیرا پھیریوں، نوکر شاہی کی جی حضوریوں، بیوروکریٹس کی من مانیوں، انتظامیہ کی دھاندلیوں، سور معاشرے کی بے حسی کی بے لاگ داستان ہے۔ انگریز کا راج، ہندو کا سماج، سکھوں کا مزاج، مسلمانوں کا ٹمٹماتا ہوا چراغ، داخلہ اور خارجہ پالیسیوں کے لیل و نہار، با اعتماد اور نا قابلِ اعتماد ""دوست"" ممالک کے نقش و نگار، کشکولِ گدائی پر انحصار، محلاتی سازشوں اور آمریت کا جال،اقدار کا زوال،مارشل لاؤں کا جنجال، جہاد کشمیر اور جزوی آزادی، یو-این-او کی قراردادوں کی بے حرمتی اور بے ثباتی۔ مسجد اقصیٰ کی ایک رات، دین مبین کی تجلیات، قلب و نظر کے مشاہدات، تزکیہ نفس کے معاملات۔کتاب کے آخر میں ""پاکستان کے بارے میں چند اندازے"" اور اسلام کے فیوض و برکات اور ذاتی مشاہدات شامل کرکے مصنف نے اس خود نوشت کو نیٔ جہت عطا کر دی ہے۔",,,,1999,[],Hardcover,"['Biography', 'Pakistan', 'History', 'Nonfiction', 'Autobiography', 'Memoir', 'Politics', 'Spirituality']",,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316795397l/2794815.jpg,4.33,[],99.0,1.0,,2794815-shahabnama,,,,,94.0,2085.0,1247,,Sang-e-Meel Publications,"['1213', '524', '226', '62', '60']",,,[],,
Queen Noor,Leap of Faith: Memoirs of an Unexpected Life,,English,,"Leap of Faith is the dramatic and inspiring story of an American woman's remarkable journey into the heart of a man and his nation. Born into a distinguished Arab-American family and raised amid privilege, Lisa Halaby joined the first freshman class at Princeton to accept women, graduating in 1974 with a degree in architecture and urban planning. Two years later, while visiting her father in Jordan, she was casually introduced on the airport runway to King Hussein. Widely admired in the Arab world as a voice of moderation, and for his direct lineage to the prophet Muhammad, Hussein would soon become the world's most eligible bachelor after the tragic death of his wife. The next time they met, Hussein would fall headlong in love with the athletic, outspoken daughter of his longtime friend. After a whirlwind, secret courtship Lisa Halaby became Noor Al Hussein, Queen of Jordan.With eloquence and candor, Queen Noor speaks of the obstacles she faced as a naive young bride in the royal court, of rebelling against the smothering embrace of security guards and palace life, and of her own successful struggle to create a working role as a humanitarian activist in a court that simply expected Noor to keep her husband happy. As she gradually took on the mantle of a queen, Noor's joys and challenges grew. After a heartbreaking miscarriage, she gave birth to four children. Meshing the demands of motherhood with the commitments of her position often proved difficult, but she tried to keep her young children by her side, even while flying the world with her husband in his relentless quest for peace. This mission would reap satisfying rewards, including greater Arab unity and a peace treaty with Israel, and suffer such terrible setbacks as the Gulf War and the assassination of Prime Minister Rabin.Leap of Faith is a remarkable document. It is the story of a young American woman who became wife and partner to an Arab monarch. It provides a compelling portrait of the late King Hussein and his lifelong effort to bring peace to his war-torn region, and an insider's view of the growing gulf between the United States and the Arab nations. It is also the refreshingly candid story of a mother coming to terms with the demands the king's role as a world statesman placed on her family's private life. But most of all it is a love story — the intimate account of a woman who lost her heart to a king, and to his people.",,,11/01/02,March 9th 2005,['Noor of Jordan'],Paperback,"['Nonfiction', 'Biography', 'Memoir', 'Biography Memoir', 'Autobiography', 'History', 'Book Club', 'Politics', 'Islam', 'Adult']",,9781401359485,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327169055l/400598.jpg,3.81,[],145.0,2.0,,400598.Leap_of_Faith,,,,,91.0,9023.0,496,,Miramax Books,"['2446', '3357', '2422', '618', '180']",,,[],,
Quentin Blake,The Puffin Book of Nonsense Verse,,,Juvenile Nonfiction,"A lively, upbeat collection of nonsense verse for all the family, including Lear, Carroll, Belloc and Nash, with Quentin Blake's wonderfully loopy illustrations.",,,,1996.0,,,,0140366601,9780140366600,,http://books.google.com/books/content?id=hMjTHea0roQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.04,,,,,,,,,,,,287.0,,,,76.0,,,,
Quentin Blake,Clown,,,Juvenile Fiction,"After being discarded, Clown makes his way through town having a series of adventures as he tries to find a home for himself and his other toy friends.",,,,1998.0,,,,0805059334,9780805059335,,http://books.google.com/books/content?id=8m6mB0S8LmYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97,,,,,,,,,,,,32.0,,,,369.0,,,,
Quentin Brent (Goodreads Author),The Reason: It's about More Than Just the Money,,,,"Illicit profits were all part of Zane Donaldson's work at a financial firm, but suddenly the stakes change when his family is violently abducted. Following a trail that was never meant to be uncovered, Zane realizes that with Quantitative Easing, the Federal Reserve is doing something no criminal has ever accomplished--and the catastrophic economic implications are worth killing over.Together with a computer hacker and a seemingly helpful special ops warrior, Zane must decide between exposing the truth and preserving the financial strength of the world. However, only Zane knows the real truth and why it can't be revealed. The Federal Reserve isn't just about money. While it also involves domination and control, it all comes back to one thing.The Reason.",,,09/07/15,October 26th 2015,[],Hardcover,"['Fiction', 'Contemporary', 'Drama', 'Thriller']",,9781592988716,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442852282l/26778096.jpg,4.26,[],267.0,3.0,,26778096-the-reason,,,,,94.0,202.0,,,Beaver's Pond Press,"['100', '73', '17', '6', '6']",,,[],,
Quentin Carter,Hoodwinked,,,Fiction,Drug-dealing brothers Keith and Kevin Banks find their lives turned upside down when a jealous rival plots their downfall.,,,,2005.0,,,,0976234963,9780976234968,,,4.43,,,,,,,,,,,,277.0,,,,961.0,,,,
"Quentin Crisp, Michael Holroyd (Preface by)",The Naked Civil Servant,,English,,"A comical and poignant memoir of a gay man living life as he pleased in the 1930sIn 1931, gay liberation was not a movement—it was simply unthinkable. But in that year, Quentin Crisp made the courageous decision to ""come out"" as a homosexual. This exhibitionist with the henna-dyed hair was harassed, ridiculed and beaten. Nevertheless, he claimed his right to be himself—whatever the consequences. The Naked Civil Servant is both a comic masterpiece and a unique testament to the resilience of the human spirit.",,,11/05/68,May 1st 1997,[],Paperback,"['Nonfiction', 'Biography', 'LGBT', 'Queer', 'Memoir', 'Gay', 'Classics', 'Autobiography', 'Biography Memoir', 'Humor']",,9780141180533,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309209765l/86062.jpg,4.06,[],76.0,1.0,,86062.The_Naked_Civil_Servant,,,,,94.0,2080.0,212,,Penguin Classics,"['787', '777', '388', '101', '27']",,,[],,
Quentin R. Bufogle (Goodreads Author),Horse Latitudes,,English,,"Time is running out for Chester Sprockett. How is an unemployed, aspiring novelist supposed to survive when the thirty grand borrowed off his dead father's credit cards is almost gone, and the only work he can find is hawking toys and cheesy novelty items door-to-door . . . and on commission yet?And talk about woman trouble: There's Pandora, the beautiful magician's assistant who dumped him for an investment banker and the dream of becoming a performance artist; Beth, his true love, the girl he let slip through his fingers at the beach (maybe it was all that baby oil), and the mysterious blond nymph who hurls empty beer bottles at him from a black Z28 Camaro.If it wasn't for the occasional visit from the ghost of his father, Chester would almost certainly be losing his grip on reality, and never navigate his way out of the . . . Horse Latitudes.",,,,November 17th 2008,['Chester Sprockett; Pandora Zombeck; Bongo McKenner'],Paperback,[],,9781607035237,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317762l/5851400.jpg,4.38,[],94.0,1.0,,5851400-horse-latitudes,,,,,96.0,26.0,148,,America Star Books,"['17', '3', '5', '1', '0']",,,[],,
Quentin Skinner,The Return of Grand Theory in the Human Sciences,,,History,"Publisher description: This is a volume of new essays introducing the most influential developments in social and political theory over the last thirty years. In that period empiricism and the positivist ideal of the unification of science have been undermined and transformed by the impact of different, frequently Continental, traditions of thought. The introduction charts these charges and each of the contributors provides a brief and lucid account of the thought of one major figure or school which have helped to bring about these changes. Those discussed include Althusser, Derrida, Foucault, Gadamer, Habermas, Kuhn, Levi-Strauss, Rawls and the Annales historians. Each essay has suggestions for further reading and a useful general bibliography is provided at the end of the volume.",,,,1990.0,,,,0521398339,9780521398336,,http://books.google.com/books/content?id=y5gk3pINr-YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3.82,,,,,,,,,,,,224.0,,,,26.0,,,,
