title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
تاریخ مختصر جهان,,[],"A Short history of the world, ‏‫ A.Z. ‭Manfredعنوان: تاریخ مختصر جهان در چهار جلد؛ نویسندگان: م‌.و. نچکینا؛ اکساندر آندریوویچ گوبر؛ ... [و دیگران]؛ ویراستار: آلبرت زاخارویچ مانفرد؛ تهران، نشر بین الملل؛ چاپ نخست: جلد اول 1353، چاپ دوم 1356؛ در 260 ص؛ جلد دوم 1357، جلد سوم 1359، جلد چهارم 1359؛ چاپ دیگر: تهران، انتشارات دنیا، 1356؛ چاپ دیگر: گوتنبرگ؛ چاپ دیگر: تهران، فردوس، 1387، در یک جلد 654 ص؛ فهرست: جامعه ابتدائی، خاورمیانه، تمدنهای باستانی چین و هند، تاریخ ماقبل کلاسیک یونان، یونان در قرنهای پنجم و چهارم پیش از میلاد، بحران در جامعه یونان، پیدایش مقدونیه و امپراطوری اسکندر کبیر، نخستین دوران تاریخ روم، روم در عصر امپراطوران، گذار به فئودالیسم و پیدایش نخستین دولتهای فئودالی در اروپا، پیدایش و تکامل روابط فئودالی در آسیای شرقی، جنوب شرقی و جنوبی، کی یف روس، گذار به فئودالیسم در خاورمیانه و آسیای میانه، اروپای غربی در قرنهای یازدهم تا پانزدهم، مبارزه ملتهای اروپای شرقی و مرکزی، چین، آسیای میانه، و ماوراء قفقاز علیه هجوم بیگانه در قرن سیزدهم، تشکیل دولت متحد روسیه، پیدایش سرمایه داری در اروپای غربی، اروپائیان بر آمریکا چیره میشوند، دولت متمرکز روسیه از اواخر قرن پانزدهم تا قرن هفدهم جنگ دهقانی، آسیا در قرن شانزدهم و هفدهم",,,,1977,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481441545l/3353071.jpg,3.4,[],100.0,1.0,,,,80.0,5.0,302,انتشارات دنیا,"['0', '3', '1', '1', '0']",,"['Iran, Islamic Republic of']",,['A. Z Manfred']
لمحات,,"['Short Stories', 'Fiction']",[عندما تظنُّ أنَّ الأمورَ قد أضحتْ مستحيلةً فكّرْ بطريقةٍ مختلفةٍ],,1st ed.,,2011,[],ebook,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566171421l/10493208.jpg,3.67,[],89.0,1.0,,,,87.0,126.0,120,,"['28', '51', '30', '12', '5']",,[],,['AHMED FAYEZ']
என் பெயர் ராமசேஷன் (En Peyar Ramaseshan),,['Fiction'],"ஒரு நகர்ப்புற, மத்தியதர இளைஞன், ராமசேஷன் கண்களின் வழியே நவீன வாழ்க்கையின் பாசாங்குகளும் முகமூடிகளும் வேட்கைகளும் சித்திரக்கப்படுகிறது. சுயநிரூபணத்திற்கான பரிதவிப்பும் அடையாளத் தேடலும் கொண்ட இளமையின் வண்ணமும் உங்கள் மீதும் பூசப்படுகிறது.",,,,1980,[],,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1200458644l/2586778.jpg,4.27,[],100.0,1.0,,,,96.0,136.0,200,,"['65', '49', '17', '4', '1']",,['India'],,['Aadhavan']
تعلم القراءة السريعة في 10 أيام,,"['Nonfiction', 'Self Help', 'Business', 'Productivity', 'Personal Development', 'Education', 'How To', 'Reference', 'Unfinished', 'Language']",في الماضي كانت عملية التدريب علي القراءة السريعة تستغرق شهوراً، أما الأن فيمكنك زيادة سرعة قراءتك زيادة هائلة من خلال التدريب اليومي لعدة دقائق.وإلي جانب اشتمال هذا الكتاب هذا الكتاب علي اختبارات تقيس مستوي سرعة قراءاتك الحالي وتدريبات تمدك بمهارات جديدة، فانه سيحسن قدرتك علي القراءة السريعة والفهم كما سيساعدك علي :* التخلص من عادات القراءة السيئة الي تقلل من سرعة قراءتك.* تحسين قدرتك علي التركيز.* تقليل الوقت المستغرق في القراءة الي النصف .* استخخدام أساليب قراءة مجربة ومصممة خصيصاً لزيادة سرعة قراءتك.* تحسين قدرتك علي الاستفادة من رؤيتك الجانبية.* تعلم كيفية تصفح ومطالعة أي تقرير مكتوب بسرعة فائقة.وكل هذا لن يستغرق منك أكثر من 10 أيامالتحميل >> http://www.b7r-kotob.com/2013/11/Taal...,,الطبعة الأولى,07/01/01,2008,[],Paperback,,9780446676670,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1262958100l/7519184.jpg,3.86,[],99.0,1.0,,,,89.0,3345.0,280,مكتبة جرير,"['1163', '1028', '795', '245', '114']",,[],,['Abmarks-Beale']
معماى هويدا,,"['History', 'Biography', 'Nonfiction', 'Iran', 'Historical']",پل حسرت، برزخ بیروت، زائر پاریس، سرزمین عجائب، بازگشت به پاریس، سال های سرگردانی، انقلاب سفید، کانون مترقی، زمستان ناخرسندی ها، یادداشت های زمان جنگ، سیاست در پمپئی ی نفت خیز، دره ی جنی، سقوط پمپئی، قربانی، قاضی انقلاب، دریاچه ی یخ زده ی کاکیتوس،,,,10/29/00,2003,[],Hardcover,,9789649317076,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506285332l/196612.jpg,4.08,[],187.0,2.0,,,,93.0,907.0,586,اختران,"['354', '353', '135', '50', '15']",,[],,"['Abbas Milani', 'Abbas Milani']"
طبائع الاستبداد ومصارع الاستعباد,,"['Politics', 'Nonfiction', 'Philosophy', 'Sociology', 'Religion', 'History', 'Unfinished', 'Islam', 'Classics', 'Social Science']",هذا بحث كتبه عبد الرحمن الكواكبي في موضوع الاستبداد مستعرضاً طبائعه وما ينطوي عليه من سلبيات تؤدي إلى خوف المستبد وإلى الاستيلاء الجبن على رغبته إلى جانب انعكاسات الاستبداد على جميع مناحي الحياة الإنسانية بما فيه الدين والعلم والمجد والمال والأخلاق والترقي والتربية والعمران ومن خلال التساؤلات يشرح من هم أعوان المستبد وهل يمكن أن يتحمل الإنسان ذلك الاستبداد وبالتالي كيف يكون الخلاص منه وها هو البديل عنه.,,,10/28/02,2006,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352231987l/2312458.jpg,4.2,[],681.0,7.0,,,,94.0,8926.0,157,منشورات الجمل,"['4221', '2933', '1281', '359', '132']",,[],,['Abd Al-Rahman Al-Kawakibi']
دو قرن سکوت,,"['History', 'Historical', 'Nonfiction', 'Religion', 'Iran', 'Literature']",تاریخ حمله اعراب به ایران و تسلط آنها بر این کشور به مدت بیش از دویست سال به خوبی در این کتاب با اشاره به منابع و مراجع بی شماری به تصویر کشیده شده است.,,,01/01/51,2005,[],Hardcover,,9789645983336,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466758236l/521942.jpg,3.99,[],96.0,1.0,,,,93.0,1634.0,372,سخن,"['597', '578', '341', '86', '32']",,"['Iran, Islamic Republic of']",,['Abdolhosein Zarrinkob']
سر نی، در دو جلد,,['Literature'],,,,11/06/85,1999,[],Hardcover,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381995003l/1444638.jpg,4.05,[],81.0,1.0,,,,90.0,59.0,1158,علمی فرهنگی,"['25', '20', '8', '4', '2']",,[],,['Abdolhosein Zarrinkob']
مدن الملح,,"['Novels', 'Fiction', 'Literature', 'Historical Fiction']",مدن الملح هي رواية عربية للروائي السعودي عبد الرحمن المنيف ، تعد واحدة من أشهر الروايات العربية وتتألف هذه الرواية من خمسة أجزاء. الرواية تتكلم وتصور الحياة مع بداية اكتشاف النفط والتحولات المتسارعة التي حلت بمدن وقرى الجزيرة العربية بسبب أكتشاف النفط.أجزاء الرواية 1-التيه: يتناول الجزء الأول بوادر ظهور النفط في الجزيرة العربية من خلال سكانها وتظهر شخصية متعب الهذال الرافضة كتعبير عن الموقف العفوي لأصحاب الأرض مما اجبر السلطة أن تستعمل العنف. يصف هذا الجزء بالتفصيل بناء المدن الجديدة (حران كانت النموذج) والتغيرات القاسية والعاصفة على المستوى المكاني وخاصة الإنساني. 2-الأخدود: في الجزء الثاني ينتقل منيف إلى تصوير اهل السلطة والسياسة في الصحراء التي تتحول إلى حقل بترولي. نقطة البداية كانت انتقال الحكم من السلطان خربيط إلى ابنه خزعل الذي يمنح كل التسهيلات إلى الأمريكان لتحقيق مخططاتهم. الشخصية الرئيسية في هذا الجزء هو مستشار السلطان الجديد صبحي المحملجي الملقب بالحكيم وهو من أصل لبناني جاء إلى حران أولا كطبيب ثم ينتقل إلى العاصمة موران بحس مغامر ليرتقي إلى أكبر المناصب ويبسط نفوذه. في هذا الجزء تزداد وتيرة التحولات حدة وسرعة بحيث لا يستطيع أحد أن يتنبأ بما ستؤول اليه الأمور. ينتهي هذا الجزء في لحظة انقلاب فنر على اخيه حين كان خارج موران. 3-تقاسيم الليل والنهار: يعود الجزء الثالث إلى جذور العائلة الحاكمة إلى سنوات التصارع القبائلي التي تتوج خربيط كأهم حاكم في المنطقة في اللحظة التي يقتحم فيها الغرب الصحراء فيجد في تحالفه مع خربيط وسيلة لامتلاك الثروة التي كان يبحث عنها ويستغل السلطان ذلك الظرف للهيمنة على كل ما يمكن أن تطاله يده ويعود هذا الجزء إلى نشأة كل من خزعل وفنر. 4-المنبت: الجزء الرابع هو عبارة عن سيرة خزعل في المنفى حتى وفاته مع رصد للتغييرات الانقلابية التي فرضها فنر ومحاولته أن يحول مسار الصحراء من جديد متخلصا من بقايا سياسات أبيه وأخيه والنفوذ الأامريكي ويبدأ في تأسيس دولة بأجهزة موالية له ذات ملامح قاسية كالصحراء. 5- بادية الظلمات: بعد أن يستقر الأمر بلا منازع لفنر يعود منيف لرصد حالة الناس في ظل هذه المتغيرات حيث لا تبقى العادات هي نفسها ولا حتى الأمكنة ويتغير حتى شكل الانتماء والهوية. في هذا الجزء الأخير يصبح اسم الأرض بالدولة الهديبية ويصبح فنر شخصية أسطورية لكنه ينتهي بالاغتيال من خاصته. تعتبر من الروايات الممنوعة في المملكة العربية السعودية، تمثل نقلة نوعية في السرد التاريخي والتأريخ الشخصي لحقبة يجد الكثير من الجيل الجديد صورة غير كاملة يضيعها وصف ما بعد تلك المرحلة أو الحاضر بصورة وردية ولكن أيضا غير كاملة(60% من سكان السعودية حول ودون 21 سنة 2004-2007) مدن الملح هي وثيقة مهمة تتحدث وتؤرخ عما هب على الحياة البدوية من رياح حضارية أثرت بلا شك بحياة البداوة الكاتب رصد بدقة الحياة البدوية وعبر عن ما يجيش في نفوس الكثير من البدو وتحول حالهم إلى الغنى المفاجئ والاثار الناتجة عن ذلك.,,,,2008,[],Paperback,,9789953681031,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332423478l/13556408.jpg,4.31,[],332.0,4.0,,,,96.0,1289.0,2345,المؤسسة العربية للدراسات والنشر و المركز الثقافي العر,"['672', '416', '145', '39', '17']",,[],,['Abdul Rahman Munif']
سباق المسافات الطويلة,,"['Novels', 'Literature']","""الحياة الشرقية مليئة بالسرية والتلون، ولا يقتصر الأمر على البشر وسلوكهم بل يتعداه إلى الحيوانات والطبيعة: برد قارس في الشتاء، وربيع يتفجر بشكل مباغت ودون تمهيد أو إنذار، وصيف لاهب مشتعل تنبع فيه الشمس في الأرض والجدران والأشجار"".في ذلك الشرق عاش بيتر لفترة، راقب فيها انهيار سلطة الامبراطورية التي طالما اعتبرت السيطرة على الشرق رمزاً لقوتها. شيرين، عباس، ميرزا؛ شخصيات نراها قريبة منا، نقارنها بأشخاص نعرفهم، وبسياسات خبرناها، ونتائج ندرك أكثر معناها اليوم، وبعد مرور زمن طويل على رواية عبد الرحمن منيف التي نقلب صفحاتها",,,01/01/73,2000,[],Paperback,,9999999999999,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1228504454l/5975921.jpg,3.58,[],91.0,1.0,,,,85.0,447.0,398,المؤسسة العربية للدراسات والنشر,"['99', '144', '135', '56', '13']",,[],,['Abdul Rahman Munif']
