author,title,subtitle,language,categories,description,series,edition,firstPublishDate,published_year,characters,format,genres,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,best_sellers_rank,bookId,buybox_seller,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,product_dimensions,publisher,ratingsByStars,ratings_count,seller_name,setting,soldBy,weight
T. A. Barron,The Mirror of Merlin,,,Fiction,Merlin must find his stolen sword in order to repel an encroaching evil intent on destroying the magic isle of Fincayra. But first he must confront a magical mirror that alters one's destiny.,,,,2002.0,,,,0441009654,9780441009657,,http://books.google.com/books/content?id=X6HTqdHjLpsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.06,,,,,,,,,,,,288.0,,,,6682.0,,,,
T. A. Barron,The Lost Years of Merlin,,,Fiction,"The first title in this bestselling series, now available in paperback, follows the adventures and training of young Merlin who is destined to become the greatest wizard of all time. Illustrations. Copyright © Libri GmbH. All rights reserved.",,,,2002.0,,,,0441010288,9780441010288,,http://books.google.com/books/content?id=T5E1zLbmw4AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,,,,,,,,,,,,304.0,,,,12114.0,,,,
T. C. Boyle,McSweeney's,,,Fiction,"The latest collection from the literary journal that publishes only works rejected from other magazines, and is committed to publishing work of gifted but underappreciated writers, is presented.",,,,2006.0,,,,193241648X,9781932416480,,http://books.google.com/books/content?id=N5nFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,,,,,,,,,,,,250.0,,,,303.0,,,,
"T. Colin Campbell, Howard Jacobson",Whole: Rethinking the Science of Nutrition,,English,,"What happens when you eat an apple? The answer is vastly more complex than you imagine.Every apple contains thousands of antioxidants whose names, beyond a few like vitamin C, are unfamiliar to us, and each of these powerful chemicals has the potential to play an important role in supporting our health. They impact thousands upon thousands of metabolic reactions inside the human body. But calculating the specific influence of each of these chemicals isn’t nearly sufficient to explain the effect of the apple as a whole. Because almost every chemical can affect every other chemical, there is an almost infinite number of possible biological consequences.And that’s just from an apple.Nutritional science, long stuck in a reductionist mindset, is at the cusp of a revolution. The traditional ""gold standard” of nutrition research has been to study one chemical at a time in an attempt to determine its particular impact on the human body. These sorts of studies are helpful to food companies trying to prove there is a chemical in milk or pre-packaged dinners that is ""good” for us, but they provide little insight into the complexity of what actually happens in our bodies or how those chemicals contribute to our health.In The China Study, T. Colin Campbell (alongside his son, Thomas M. Campbell) revolutionized the way we think about our food with the evidence that a whole food, plant-based diet is the healthiest way to eat. Now, in Whole, he explains the science behind that evidence, the ways our current scientific paradigm ignores the fascinating complexity of the human body, and why, if we have such overwhelming evidence that everything we think we know about nutrition is wrong, our eating habits haven’t changed.Whole is an eye-opening, paradigm-changing journey through cutting-edge thinking on nutrition, a scientific tour de force with powerful implications for our health and for our world.",,,,May 7th 2013,[],Hardcover,"['Health', 'Nonfiction', 'Nutrition', 'Food', 'Science', 'Vegan', 'Audiobook', 'Self Help', 'Reference', 'Diets']",,9781937856243,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379393042l/13587039.jpg,3.92,['Goodreads Choice Award Nominee for Food & Cookbooks (2013)'],97.0,1.0,,13587039-whole,,,,,90.0,5150.0,352,,BenBella Books,"['1826', '1695', '1130', '372', '127']",,,[],,
"T. Colin Campbell, Thomas M. Campbell II (Goodreads Author)","The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-term Health",,English,,"More than thirty years ago, nutrition researcher T. Colin Campbell and his team at Cornell, in partnership with teams in China and England, embarked upon the China Study, the most comprehensive study ever undertaken of the relationship between diet and the risk of developing disease. What they found when combined with findings in Colin's laboratory, opened their eyes to the dangers of a diet high in animal protein and the unparalleled health benefits of a whole foods, plant-based diet.In 2005, Colin and his son Tom, now a physician, shared those findings with the world in The China Study, hailed as one of the most important books about diet and health ever written.Featuring brand new content, this heavily expanded edition of Colin and Tom's groundbreaking book includes the latest undeniable evidence of the power of a plant-based diet, plus updated information about the changing medical system and how patients stand to benefit from a surging interest in plant-based nutrition.The China Study - Updated and Expanded Edition presents a clear and concise message of hope as it dispels a multitude of health myths and misinformation. The basic message is clear. The key to a long, healthy life lies in three things: breakfast, lunch and dinner.",,,09/28/01,May 11th 2006,[],Paperback,"['Health', 'Nonfiction', 'Nutrition', 'Food', 'Science', 'Vegan', 'Self Help', 'Diets', 'Reference', 'Audiobook']",,9781932100662,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376474019l/178788.jpg,4.23,[],263.0,3.0,,178788.The_China_Study,,,,,95.0,25540.0,417,,Benbella Books,"['12527', '8143', '3533', '904', '433']",,,[],,
T. Coraghessan Boyle,Water Music,,,Fiction,"Mungo Park, based on a real-life African explorer, and Ned Rise, a scoundrel, pimp, thief, and cheat, travel about Africa and meet up with a varied assortment of characters--native and colonial, antic and dangerous",,,,1981.0,,,,0140065504,9780140065503,,http://books.google.com/books/content?id=bL6tQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.17,,,,,,,,,,,,437.0,,,,3128.0,,,,
T. Coraghessan Boyle,East is East,,,Fiction,"A young Japanese seaman jumps ship off the coast of Georgia and washes ashore on a barrier island inhabited by a strange mix of rednecks, descendents of slaves, genteel retired people, and a colony of artists. The result is a sexy, savagely hilarious tragicomedy of thwarted expectations, mistaken identity, love, jealousy and betrayal. ""An absolutely stunning work, full of brilliant cross-cultural insights"".--The New York Times Book Review.",,,,1991.0,,,,0140131671,9780140131673,,http://books.google.com/books/content?id=5DHuAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.64,,,,,,,,,,,,384.0,,,,2047.0,,,,
T. Coraghessan Boyle,The Tortilla Curtain,,,Fiction,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters",,,,1996.0,,,,014023828X,9780140238280,,http://books.google.com/books/content?id=ZA_BOPDj3-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.65,,,,,,,,,,,,355.0,,,,23410.0,,,,
T. Coraghessan Boyle,World's End,A Novel,,Fiction,"This multi-generational novel ranges over the history of the Hudson River Valley from the late seventeenth cenutry to the late 1960s with low humor, high seriousness, and magical, almost hallucinatory prose. It follows the interwoven destinies of families of Indians, lordy Dutch patrons, and yoemen.",,,,1988.0,,,,0140299939,9780140299939,,http://books.google.com/books/content?id=vQNMPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.01,,,,,,,,,,,,480.0,,,,3180.0,,,,
T. Coraghessan Boyle,Descent of Man,Stories,,Fiction,"A mad, hilarious collection of short stories, wherein Boyle offers his unique view of dictators, animals, scientists, explorers, collectors, teetotalers, and others.",,,,1987.0,,,,0140299947,9780140299946,,http://books.google.com/books/content?id=wzVfXTxFRSsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96,,,,,,,,,,,,240.0,,,,591.0,,,,
