title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Unhinged,,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Magic', 'Paranormal', 'Fairy Tales', 'Young Adult Fantasy', 'Adventure', 'Fiction']","Alyssa Gardner has been down the rabbit hole and faced the bandersnatch. She saved the life of Jeb, the guy she loves, and escaped the machinations of the disturbingly seductive Morpheus and the vindictive Queen Red. Now all she has to do is graduate high school and make it through prom so she can attend the prestigious art school in London she's always dreamed of. That would be easier without her mother, freshly released from an asylum, acting overly protective and suspicious. And it would be much simpler if the mysterious Morpheus didn’t show up for school one day to tempt her with another dangerous quest in the dark, challenging Wonderland—where she (partly) belongs. As prom and graduation creep closer, Alyssa juggles Morpheus’s unsettling presence in her real world with trying to tell Jeb the truth about a past he’s forgotten. Glimpses of Wonderland start to bleed through her art and into her world in very disturbing ways, and Morpheus warns that Queen Red won’t be far behind. If Alyssa stays in the human realm, she could endanger Jeb, her parents, and everyone she loves. But if she steps through the rabbit hole again, she'll face a deadly battle that could cost more than just her head.",Splintered #2,,,January 7th 2014,"['Alyssa Victoria Gardner', 'Jebediah ""Jeb"" Holt', 'Mr. Mason', 'Alison Gardner', 'Thomas Gardner', 'Morpheus', 'Jenara Holt', 'Corbin', 'Mr. Lamb', 'Taelor Tremont', 'Chessie', 'Gossamer', 'Rabid White', 'Carpet Beetle', 'Sister Two Twid', 'Sister One Twid']",Hardcover,,9781613125342,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366994000l/17449197.jpg,4.22,[],620.0,7.0,,,,95.0,21931.0,387,Amulet Books,"['10429', '7164', '3332', '767', '239']",,"['Pleasance, Texas (United States)', 'The Nether Realm/Wonderland']",,['A. G Howard']
Untamed,,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fairy Tales', 'Magic', 'Short Stories', 'Paranormal', 'Fiction', 'Audiobook']","A post-Ensnared collection of three stories—available in both print and e-versions.Alyssa Gardner went down the rabbit hole and took control of her destiny. She survived the battle for Wonderland and the battle for her heart. In this collection of three novellas, join Alyssa and her family as they look back at their memories of Wonderland. In Six Impossible Things, Alyssa recalls the most precious moments of her life after Ensnared, and the role magic plays in preserving the happiness of those she loves. Alyssa’s mother reminisces about her own time in Wonderland and rescuing the man who would become her husband in The Boy in the Web. And Morpheus delves into Jeb’s memories of the events of Splintered in The Moth in the Mirror, available in print for the first time.This collection expands upon Ensnared's epilogue, and includes some deleted scenes to provide a “director’s cut” glimpse into the past and futures of our favorite Splintered characters.","Splintered #1.5, 3.5",,,December 15th 2015,[],ebook,,9781613128794,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432662500l/25105196._SY475_.jpg,4.13,[],166.0,2.0,,,,94.0,4886.0,288,Amulet Books,"['2216', '1456', '915', '231', '68']",,[],,['A. G Howard']
Uriel: The Price,,"['Young Adult', 'Fantasy']","Uriel The Price is book 6 of 6 in the Airel Saga.  New York Times and USA Today Bestselling thriller writer Aaron Patterson teams up with Chris White, in this exciting new young adult paranormal romance series!  Fans of Veronica Roth, Suzanne Collins, Cassandra Clare and James Dashner will love this young adult fantasy series by Aaron Patterson and Chris White.  ""Move over Twilight! Here comes Aaron Patterson!"" --Joshua Graham, bestselling author of Beyond Justice and Darkroom  Uriel: The Price All Uriel wanted was to be loved... Uriel has kept more than one deep dark secret for thousands of years. It's only fitting, then, that she should be the one to suffer the shock when it matters most. Bloodlines and ghosts, echoes from the ancient past. In the smash, what will break out into the light? Once more, we see how the evil deeds of the past play out in the generations that follow, and with grave consequences-and startling revelations. Betrayal, deceit, and murder are unavoidable in the stunning conclusion to the Airel Saga.  REVIEWS:  ""It takes rare talent for a man to write a novel from a male POV and have it published to great critical and commercial acclaim. But it takes a miracle for that same male, or in this case males, to write a novel from the POV of a teenage girl and have it turn out as incredibly as did the new StoneHouse YA by Aaron Patterson and Chris White, AIREL. From the first sentence, I felt compelled to dive into this young woman's story and just as importantly, I felt like I personally knew her, which means I laughed, stressed and cried right along with her. A beautifully written and crafted fiction about teenage innocence, faith, loss and love. A must read for teens and adults alike."" --Vincent Zandri, International Bestselling Author of The Remains, The Innocent, and Concrete Pearl  ""I am happy to say that this novel is one of my favorites of its kind. I never thought I could read a novel like this and be so swept away! I am always willing to try new books, but I usually steer clear of this kind of novel. Not anymore! Not when I can be so engrossed into the character's story, like I was with the beautiful AIREL, that before I know, it's over. I kept turning the pages, wanting to, no-NEEDING, to know what was going to happen next."" --Molly Edwards, Willow Spring, NC  Uriel: The Price is for readers who enjoy teen & young adult historical fiction medieval, teen & young adult romance, paranormal & fantasy, paranormal romance, teen & young adult religion & spirituality, christian fantasy, christian fiction, teen & young adult love & romance, christian literature & fiction, angels, demons, immortals, fallen angels, small towns, good vs evil.  Aaron Patterson is a New York Times and USA Today bestselling author of the thrilling hard-boiled Mark Appleton series, (1)SWEET DREAMS, (2)DREAM ON and (3)IN YOUR DREAMS and also the Sarah Steele Series, BREAKING STEELE, TWISTING STEELE and MELTING STEELE.  * * * AIREL, The Awakening (Book 1: Part 1 in the Airel Saga) AIREL, The Discovering (Book 2: Parts 2-4 in the Airel Saga) MICHAEL, The Curse (Book 3: Parts 5-6 in the Airel Saga) MICHAEL, The Mark (Book 4: Parts 7-8 in the Airel Saga) URIEL, The Inheritance (Book 5: Parts 9-10 in the Airel Saga) URIEL, The Price (Book 6: Parts 11-12 in the Airel Saga) * * *  Visit Aaron's blog @ TheWorstbookEver.Blogspot.com Follow Aaron on Twitter @Mstersmith Friend Aaron on Facebook @ facebook.com/Pages/AaronPatterson",The Airel Saga,,,May 11th 2014,[],Kindle Edition,,B00KAE2F68,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420963548l/22180659.jpg,3.91,[],92.0,1.0,,,,87.0,172.0,175,StoneHouse Ink,"['67', '52', '30', '17', '6']",,[],,"['Aaron M. Patterson', 'Chris White']"
Unplanned: The Dramatic True Story of a Former Planned Parenthood Leader's Eye-Opening Journey Across the Life Line,,"['Nonfiction', 'Biography', 'Christian', 'Memoir', 'Autobiography', 'Religion', 'Catholic', 'Politics', 'Biography Memoir', 'Christian Non Fiction']","Retailers Choice Award winner, 2012Abby Johnson quit her job in October 2009. That simple act became a national news story because Abby was the director of a Planned Parenthood clinic in Texas who, after participating in her first actual abortion procedure, walked across the road to join the Coalition for Life. ""Unplanned"" is a heartstopping personal drama of life-and-death encounters, a courtroom battle, and spiritual transformation that speaks hope and compassion into the political controversy that surrounds this issue. Telling Abby’s story from both sides of the abortion clinic property line, this book is a must-read for anyone who cares about the life versus rights debate and helping women who face crisis pregnancies.",,,10/30/10,January 11th 2011,[],Hardcover,,9781414339399,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406507722l/9640038.jpg,4.29,[],141.0,2.0,,,,96.0,7153.0,267,SaltRiver,"['3661', '2324', '862', '186', '120']",,[],,"['Abjohnson', 'Cindy Lambert']"
Until the End,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Abuse', 'High School', 'Chick Lit', 'Adult', 'Audiobook']","The backstory that fans have been clamoring for—how Rock and Trisha fell in love—is the final novel in the Sea Breeze series from New York Times and USA TODAY bestselling author Abbi Glines.Trisha Corbin always knew how to hide a bruise. With her momma’s boyfriends unable to keep their hands off her, she had no choice. And as long as it meant the guys wouldn’t go near her little brother, Krit, it was worth it. But her days of dreaming that Prince Charming would ever come rescue her are far, far in the past. Rock Taylor always had a plan. Through football, he would rise above the life he was born into. A full scholarship to play for a major college team was within his reach—assuming he didn’t let anything get in his way. But scoring a date with the hottest girl in Sea Breeze was proving harder than expected. Trisha Corbin was every man’s walking fantasy, and she wouldn’t even glance his way. When Rock finally does get Trisha in his truck, it isn’t for a date. It’s because he picks her up on the side of the road, beaten and bruised and trying to get to the local hospital. Before Rock knows it, football is no longer his life. Trisha Corbin is. And he’ll do anything to save her. And keep her. In addition to Rock and Trisha’s love story, this special conclusion to the Sea Breeze series contains the wrap-up stories of all your favorite Sea Breeze couples: Sadie and Jax, Marcus and Low, Cage and Eva, Preston and Amanda, Jess and Jason, Krit and Blythe, and Dewayne and Sienna. The steamy romance doesn’t stop until the very last page!",Sea Breeze #9,,10/14/14,November 17th 2015,[],Paperback,,9781481436205,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424053552l/24944887.jpg,4.43,[],97.0,1.0,,,,97.0,15918.0,400,Simon Pulse,"['9410', '4421', '1657', '339', '91']",,[],,['Abbi Glines']
Until Friday Night,,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Sports', 'High School', 'Sports Romance', 'Contemporary Romance', 'Fiction', 'Young Adult Contemporary']","To everyone who knows him, West Ashby has always been that guy: the cocky, popular, way-too-handsome-for-his-own-good football god who led Lawton High to the state championships. But while West may be Big Man on Campus on the outside, on the inside he’s battling the grief that comes with watching his father slowly die of cancer.Two years ago, Maggie Carleton’s life fell apart when her father murdered her mother. And after she told the police what happened, she stopped speaking and hasn’t spoken since. Even the move to Lawton, Alabama, couldn’t draw Maggie back out. So she stayed quiet, keeping her sorrow and her fractured heart hidden away.As West’s pain becomes too much to handle, he knows he needs to talk to someone about his father—so in the dark shadows of a post-game party, he opens up to the one girl who he knows won’t tell anyone else.West expected that talking about his dad would bring some relief, or at least a flood of emotions he couldn’t control. But he never expected the quiet new girl to reply, to reveal a pain even deeper than his own—or for them to form a connection so strong that he couldn’t ever let her go…",The Field Party #1,,,August 25th 2015,"['Maggie Carleton', 'West Ashby']",ebook,,9781481438865,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429191171l/22522202._SY475_.jpg,3.98,['Goodreads Choice Award Nominee for Young Adult Fiction (2015)'],391.0,5.0,,,,91.0,39473.0,336,Simon Pulse,"['15203', '13026', '7727', '2478', '1039']",,"['Lawton, Alabama (United States)']",,['Abbi Glines']
Under the Lights,,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Sports', 'High School', 'Sports Romance', 'Audiobook', 'Contemporary Romance', 'Fiction']","In the follow-up to Abbi Glines’s #1 New York Times bestseller Until Friday Night—three teens from a small southern town are stuck in a dramatic love triangle.Willa can’t erase the bad decisions of her past that led her down the path she’s on now. But she can fight for forgiveness from her family. And she can protect herself by refusing to let anyone else get close to her.High school quarterback and town golden boy Brady used to be the best of friends with Willa—she even had a crush on him when they were kids. But that’s all changed now: her life choices have made her a different person from the girl he used to know.Gunner used to be friends with Willa and Brady, too. He too is larger than life and a high school football star—not to mention that his family basically owns the town of Lawton. He loves his life, and doesn’t care about anyone except himself. But Willa is the exception—and he understands the girl she’s become in a way no one else can.As secrets come to light and hearts are broken, these former childhood friends must face the truth about growing up and falling in love…even if it means losing each other forever.",The Field Party #2,,,August 23rd 2016,[],Kindle Edition,,B013PJVKCO,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451521139l/26135139.jpg,3.88,[],82.0,1.0,,,,92.0,13830.0,320,Simon & Schuster UK,"['4305', '4935', '3461', '885', '244']",,[],,['Abbi Glines']
Udaas Naslain / اُداس نسلیں,,"['Fiction', 'Novels', 'Classics']","This novel narrates about the different aspects of a generation. The novel is so exciting that the reader will love to read it more than once. Feudal system of undivided India, British, Hindu & Muslims are main characters of this novel.",,,11/05/63,2010,[],Hardcover,,9789693500738,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472293254l/18117935._SX318_.jpg,4.1,['Adamjee Literary Award for Urdu Prose (1964)'],77.0,1.0,,,,91.0,728.0,558,Sang-e-Meel Publications,"['338', '221', '104', '31', '34']",,[],,['Abdullah Hussein']
Una vida de abundancia: La mente exitosa,,[],"Estás a tiempo de conseguir TODO lo que deseas.  En este libro, encontraremos una serie de reflexiones sobre lo que es una persona y una vida realmente exitosa, se han identificado seis características entre las cuales una de ellas es la satisfacción duradera. Esto es un estado mental que se cultiva desde adentro, y no a través de adquisición de objetos, elogios o gratificaciones externas, por lo cual es algo que todos somos capaces de desarrollar.",,,,April 11th 2019,[],Kindle Edition,,B07QPB9WTG,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555260788l/45043778._SY475_.jpg,5.0,[],97.0,1.0,,,,100.0,10.0,107,,"['10', '0', '0', '0', '0']",,[],,"['Agustín V. Startari', 'Dayana Vega']"
Under the Hawthorn Tree,,"['Historical Fiction', 'Fiction', 'Romance', 'China', 'Asia', 'Historical', 'Adult Fiction', 'Asian Literature', 'Modern Classics', 'Chinese Literature']","Yichang municipality, Hubei province, China, early 1970s. High-school student Jingqiu is one of many educated urban youth sent to the countryside to be ""re-educated"" under a dictate from Chairman Mao. Jing's father is a political prisoner somewhere in China, and her mother, a former teacher branded as a ""capitalist,"" is now reduced to menial work to support Jing and her two younger siblings.When Jing arrives with a group at Xiping village in the Yangtze River's Three Gorges region, she meets geology student Jianxin, nicknamed ""Old Three,"" who is the son of a high-ranking military officer, but whose mother committed suicide after being branded a ""rightist."" Despite their disparate social backgrounds and a political atmosphere that forbids the relationship, Jingqiu and Jianxin fall desperately in love. But their budding romance is cut short by fate...A sensitive and searing love story, Under the Hawthorn Tree is sure to become an instant classic.",,,08/30/07,February 14th 2012,[],Paperback,,9780887842917,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328046724l/12238011.jpg,3.59,[],169.0,2.0,,,,86.0,1674.0,368,House of Anansi Press,"['355', '566', '518', '184', '51']",,[],,"['Ai Mi', 'Anna Holmwood']"
