title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Victoria's Beginning,,[],"Breaking the line: Victoria’s Beginning follows the life of young Christian girl, Victoria Roberts. Born with White skin and blue eyes to the embarrassment of her darker skinned parents, Tess and Clyde, Victoria faces rejection and colorism at an early age. Tess and Clyde send Victoria away to Dallas to live with her childless aunts, Charlotte and Mary. Charlotte is a wealthy widow, and Mary is clairvoyant. Mary has seen the difficult road ahead for Victoria if she makes the wrong choices because of her appearance. Because of this, Charlotte, Mary, and Victoria’s maternal grandparents, Chandra and Ed, shower Victoria with love and encourage her unique intelligence and talents to help keep her on the right path. However, Clyde and Tess, along with Clyde’s domineering, voodoo practicing mother, Betts, begin to spitefully interfere and attempt to crush and cower Victoria’s spirit. Can Victoria withstand the vindictive influence of Betts and her parents? Will she be able to remain true to her faith and herself to overcome the trials of her childhood and find her destiny as an adult? Or will she succumb to evil and find herself creating a line that she cannot break?",Victoria's Journey #1,,07/18/13,December 6th 2013,[],ebook,,9781310260728,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414089779l/21781544.jpg,4.12,['National Indie Excellence Awards for African-American Fiction (2015)'],98.0,1.0,,,,88.0,17.0,,Smashwords Edition,"['10', '2', '3', '1', '1']",,[],,"[""A'Mera Frieman""]"
Victoria's Choice,,[],"In Victoria’s Choice, the highly anticipated sequel to the Bestselling Book 1, Victoria’s Beginning, Victoria discovers that the decision she made on her wedding day has terrible consequences. Trapped by her own hand in an abusive marriage, Victoria allows the darkness to give her comfort in her despair. She travels back to Carson, and we catch up with some of our favorite characters: Big Mama Chandra, Grandpa Ed, and her aunts, Charlotte and Mary. Temptation rears its head in the form of a lost love, but a heartbreaking loss gives Victoria the strength to finally face her parents, Clyde and Tess. Victoria begins to question Mary’s visions that her child will break the line, and she becomes depressed when no such child appears. Frustrated and discouraged, Victoria finds a light in the darkness. However, has she missed her chance to “break the line”, or will she finally be able to make the right choice to find her joy?",Victoria's Journey #2,,12/19/13,December 21st 2013,[],ebook,,9781311888679,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412284821l/21782752.jpg,4.4,[],97.0,1.0,,,,100.0,5.0,,Smashwords Edition,"['3', '1', '1', '0', '0']",,[],,"[""A'Mera Frieman""]"
Vinegar Hill,,"['Fiction', 'Contemporary', 'Historical Fiction', 'Adult Fiction', 'Family', 'Literary Fiction', 'Novels', 'Adult', 'Chick Lit', 'Relationships']","In a stark, troubling, yet ultimately triumphant celebration of self-determination, award-winning author A. Manette Ansay re-creates a stifling world of guilt and pain, and the tormented souls who inhabit it. It is 1972 when circumstance carries Ellen Grier and her family back to Holly's Field, Wisconsin. Dutifully accompanying her newly unemployed husband, Ellen has brought her two children into the home of her in-laws on Vinegar Hill -- a loveless house suffused with the settling dust of bitterness and routine -- where calculated cruelty is a way of life preserved and perpetuated in the service of a rigid, exacting, and angry God. Behind a facade of false piety, there are sins and secrets in this place that could crush a vibrant young woman's passionate spirit. And here Ellen must find the strength to endure, change, and grow in the all-pervading darkness that threatens to destroy everything she is and everyone she loves.",,,09/12/94,April 11th 2006,[],Paperback,,9780060897840,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440121207l/101911._SY475_.jpg,3.39,[],99.0,1.0,,,,83.0,27829.0,272,Harper Perennial,"['4160', '8467', '10382', '3684', '1136']",,['Wisconsin (United States)'],,['A. Manette Ansay']
V,,"['Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Media Tie In', 'Science Fiction Fantasy', 'Mystery', 'Novels', 'War', 'Aliens']","TRY TO RESISTThey arrived—tens of thousands of extraterrestrial beings—in huge spaceships the size of a modern metropolis. They came from a dying planet. All they wanted, in exchange for their vast knowledge of science and technology, was a small share of the earth's natural resources. Theirs was a mission of peace ... and mankind believed them. Until they began to multiply into an army of alien invaders. Until men, women, and children—entire cities—began to vanish from the earth. Until the horrifying reality behind their mission of peace—a reign of terror reminiscent of Nazi Germany on a global scale—created the human imperative...RESIST OR PERISH",V #1,,1984,May 28th 1984,[],Mass Market Paperback,,9780523422374,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1205035339l/415018.jpg,3.88,[],45.0,1.0,,,,91.0,1317.0,402,Pinnacle Books,"['437', '420', '344', '94', '22']",,[],,['A. C Crispin']
Vampire Crush,,"['Vampires', 'Young Adult', 'Paranormal', 'Romance', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'Humor', 'High School', 'Teen']","I swear, my life was always totally normal.   Normal house, normal family, normal school. My looks are average, I don't have any superpowers, no one's showing up to tell me I'm a princess - you get the picture. But when my junior year started, something not normal happened. There were new kids at school . . . new kids with a wardrobe straight out of a 19th-century romance novel, and an inexplicable desire to stay at school until sundown. And on top of that, James Hallowell showed up. James, who stole my sandwiches in fourth grade and teased me mercilessly through middle school. James, who now seems to have the power to make my heart race any time he comes near. But something weird is going on. Because James rarely goes out during the day. And he seems stronger than your typical guy. And he knows the new kids, all of whom seem to be harboring some kind of deep secret. . . .",,,,December 28th 2010,"['Sophie', 'Violet', 'Vlad']",Paperback,,9780061989711,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1278011469l/8428115.jpg,3.85,[],171.0,2.0,,,,88.0,4746.0,416,HarperTeen,"['1685', '1409', '1095', '391', '166']",,[],,['A. M Robinson']
Voluntary,,"['Short Stories', 'Dystopia', 'Science Fiction', 'Apocalyptic', 'Fiction', 'Romance']","Readers' Favorite International Book Awards 2013 Gold Medal Winner — Short Story — FictionWelcome to the not so distant future. Human beings have pushed Mother Earth to her breaking point—mass wildlife extinctions, global warming, widespread resource shortages, over population—and the Department of Homeland Security is offering stimulus packages to the children of American citizens who volunteer to be euthanized. This short story about a chance encounter between two volunteers serves as a warning to a self-destructing human race. Voluntary is a tale of sacrifice, passion, and emotion between complete strangers who realize that time is of little importance to their feelings for each other in an inevitably dying world.",,,,May 2013,[],Paperback,,9781489514479,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368977174l/17934849.jpg,4.23,[],96.0,1.0,,,,86.0,44.0,38,CreateSpace,"['29', '5', '4', '3', '3']",,[],,['Aaron B. Powell']
Vex,,"['Paranormal', 'Angels', 'Young Adult', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'Romance', 'Time Travel', 'Young Adult Paranormal', 'Urban Fantasy']","***Celestra Series OPTIONED for FILM by 20th CENTURY FOX***From the New York Times and USA Today bestselling author, Addison MooreSeventeen year-old, Skyla Messenger finds herself lying on an altar as a sacrifice to the enemy.Being an angel of the highest Nephilim order hasn’t been easy. Her first love has cast his allegiance to the Countenance, the Sectors and the Fems see her as nothing more than a celestial pawn, and the dead girl she helped bring back to life has blackmailed her into relinquishing her boyfriend. Skyla is determined to change all that. She's decided to never trust Logan again, to turn the tables on the Sectors and the Fems, and get dirt on Chloe to blackmail her into leaving Gage alone. But, when one obstacle after another gets in her way, Skyla can hardly find the strength to carry on. The only solution seems to be to sacrifice herself to the Sector in her life and put everything in order while losing everything she values most.  Books by Addison MooreEthereal (Celestra Series Book 1)Tremble (Celestra Series Book 2)Burn (Celestra Series Book 3)Wicked (Celestra Series Book 4)Vex (Celestra Series Book 5)Expel (Celestra Series Book 6)Toxic Part One (Celestra Series Book 7)Toxic Part Two (Celestra Series Book 7.5)Ethereal Knights (Celestra Knights)Ephemeral (The Countenance Trilogy 1)Evanescent (The Countenance Trilogy 2) Someone to Love (Someone to Love 1)",Celestra #5,1st Edition,,November 29th 2011,[],Kindle Edition,,B006G9T1YA,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327105356l/13130607.jpg,4.09,[],4.0,1.0,,,,93.0,6318.0,368,Addison Moore,"['2802', '1890', '1154', '338', '134']",,[],,['Addison Moore']
Voyage Through Time: Walks of Life to the Nobel Prize,,"['Science', 'Nonfiction']","From a beginning in an Egyptian delta town and the port of Alexandria to the scenic vistas of sunny southern California, Ahmed Zewail takes us on a voyage through time — his own life and the split-second world of the femtosecond. In this endearing exposé of his life and work until his receipt of the Nobel Prize in 1999, he draws lessons from his life story so far, and he meditates on the impact which the revolution in science has had on our modern world — in both developed and developing countries. What makes the book enchanting and engaging is Zewail's emphasis on the human dimension and his unique ability to paint the journey of Life and Science with insightful analogies and ingenious metaphors.But this inspiring book goes far beyond the usual province of an autobiography. Zewail integrates the two worlds he equally belongs to — Egypt and America — and, despite differences, he emphasizes the confluence of the two cultures — the East and the West. He rejects the view that the current state of the world is due to a clash of civilizations or a conflict of religions, and suggests a concrete course of action for the world of the have-nots. The book ends with his road map for a partnership between developed and developing worlds. Throughout the book, Zewail takes on the mantle of philosopher, historian and even political and economic adviser.",,,01/01/02,April 16th 2003,[],Paperback,,9789812383402,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266814377l/3674043.jpg,3.84,[],100.0,1.0,,,,89.0,270.0,304,World Scientific Publishing Company,"['94', '81', '66', '17', '12']",,[],,['Ahmed H. Zewail']
Vanished: The Mysterious Disappearance of Mustafa Ouda,,"['Fiction', 'Historical']","What does it take to discover the truth? Betrayal? Deception? Risking one's own life? Omar Ouda did it all. Gaza Cursed House is a fictional story set against the political unrest in Palestine, following a young boy trying to find his father. The deeper he delves into his father's mysterious disappearance, the more he finds himself forced to make terrible choices, testing his loyalty to his country and his family. The book is also about friendship born out of difficult circumstances, presented here through the character of Ahmed who risks his life to help his friend in the quest to find his father.Omar's journey is fictional; however, it describes real life in Palestine's Gaza Strip between 1981 and 2011. This period witnessed three major events that have shaped the current situation - the first Intifada, the Oslo Accords and the second Intifada. While politics provide an important background to the story, the novel does not aim to put forth any political arguments. Instead, it sheds light on what it is like for two young boys to lead an ordinary life in an extraordinary place often described as 'hell on earth.'",,,,June 1st 2015,[],Paperback,,9789963715138,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435697534l/25826381.jpg,3.98,['Palestine Book Awards Nominee for Shortlist (2015)'],100.0,1.0,,,,93.0,60.0,204,Rimal Publications,"['23', '18', '15', '3', '1']",,[],,['Ahmed Masoud']
Vice: New and Selected Poems,,"['Poetry', 'Read For School', 'Womens', 'Literary Fiction', 'American']","Collected here are poems from Ai's previous five books—Cruelty, Killing Floor, Sin, Fate, and Greed—along with seventeen new poems. Employing her trademark ferocity, these new dramatic monologues continue to mine this award-winning poet's ""often brilliant"" (Chicago Tribune) vision.",,,03/01/99,June 17th 2000,[],Paperback,,9780393320183,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391072772l/588066.jpg,4.12,['National Book Award for Poetry (1999)'],169.0,2.0,,,,95.0,480.0,272,W. W. Norton Company,"['208', '154', '92', '21', '5']",,[],,['Ai']
Velocity,,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense']","Renowned FBI profiler Karen Vail returns in ""Velocity,"" national bestselling author Alan Jacobson's most explosive thriller to date. Detective Robby Hernandez, Vail's boyfriend, has vanished into the dense air of a Napa Valley evening. There are no clues to his whereabouts, other than blood stain and tenuous connections to a vicious serial killer operating it the wine country. As the task force struggles with Robby's disappearance, the killer challenges Vail by boldly leaving his high profile victims in public places. Is this offender somehow responsible for Robby's disappearance? Evidence suggests that he is-but just when Vail and the task force begin to make progress, the FBI orders Vail to return to Quantico to handle a case of vital importance. Back in Washington, Vail engages convert government operative Hector DeSantos to determine what happened to Robby. It's a move that backfires when DeSantos's confidential informants lead them into unforeseen dangers, forcing Vail to face off against powerful foes unlike any she's ever encountered, threatening her life, her career...all that she holds dear.In a frantic race against time that takes them from the monuments of Washington D.C. to the wealthy beach enclaves of San Diego and the bright excesses of Las Vegas, shocking truths emerge-truths that will forever change Karen Vail.",Karen Vail #3,,,October 5th 2010,['Karen Vail'],Hardcover,,9781593156213,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428304206l/7802813.jpg,3.87,[],75.0,1.0,,,,91.0,1517.0,388,Vanguard Press,"['441', '594', '353', '103', '26']",,[],,['Alan Jacobson']
V for Vendetta,,"['Graphic Novels', 'Comics', 'Fiction', 'Dystopia', 'Science Fiction', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Politics', 'Fantasy']","""Remember, remember the fifth of November...""A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.Set in an imagined future England that has given itself over to fascism, this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it. Crafted with sterling clarity and intelligence, V for Vendetta brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance.",V for Vendetta #1-10,,10/28/90,11/01/05,"['Evey Hammond', 'Adam Susan', 'Eric Finch', 'Lewis Prothero', 'V']",Hardcover,,9781401207922,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1343668985l/5805.jpg,4.25,"['Prometheus Hall of Fame Award (2006)', 'Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)']",33219.0,433.0,,,,95.0,264288.0,296,Vertigo,"['130163', '86714', '34949', '7999', '4463']",,['United Kingdom'],,"['Alan Moore', 'David Lloyd']"
Victus,,"['Historical Fiction', 'Fiction', 'Spain', 'Roman', 'Literature', 'Novels', 'Historical', '21st Century', 'Spanish Literature', 'Unfinished']","«¡Lo contaré todo! Cómo jodieron al general Villarroel, cómo derrotaron nuestras victorias. Porque, hasta ahora, de aquella guerra solo he oído las versiones que vienen de arriba o del enemigo.» VICTUS es una novela histórica que nos narra la guerra de Sucesión española, un conflicto que puede considerarse como la primera de las contiendas mundiales y que termina el 11 de septiembre de 1714 con el apocalíptico asalto a Barcelona. También es la tragedia de Martí Zuviría, un joven barcelonés, alumno aventajado del marqués de Vauban, que se convierte en un genio de la ingeniería militar. VICTUS es un derroche de información y rigor histórico al servicio de un relato ágil, potente y desenfadado, con una dicción rabiosamente contemporánea que nos lleva de Francia a Barcelona pasando por Madrid, Toledo, Tortosa o las batallas de Brihuega y Almansa. Y es también una obra sobre la Barcelona irreductible de 1714, que sufrió un asedio desigual de trece meses y el bombardeo de más de treinta mil proyectiles. VICTUS cuestiona las versiones oficiales de ambos bandos y cede la palabra a los auténticos protagonistas de la historia, desde la figura inmensa de Villarroel, el general que defendió la capital catalana con lágrimas en los ojos, hasta los civiles y soldados anónimos de todas las naciones que lucharon a un lado y otro de las murallas. Pero, ante todo, VICTUS es un festín literario de primer orden que se devora del modo en que siempre se han devorado las grandes obras, como lo demuestra el que antes de su aparición ya se hayan vendido los derechos al ruso, el alemán, el holandés y el francés. «Un huracán de aire fresco, una iconoclasta visión desde abajo que rehace el mito de 1714 con más potencia. Más vibrante. Más cercano.» Joan B. Culla, profesor de Historia Contemporánea.",,,10/29/12,October 2012,[],Hardcover,,9788496735729,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349720311l/16075538.jpg,4.05,[],191.0,2.0,,,,94.0,1859.0,608,La Campana,"['667', '758', '330', '74', '30']",,[],,['Albert Sánchez Piñol']
Vorholov Kod I Druge Misterije Popa,,[],,,,,December 28th 2015,[],Paperback,,9781522960126,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452377831l/28470369._SX318_.jpg,5.0,[],94.0,1.0,,,,,2.0,206,Createspace Independent Publishing Platform,[],,[],,"['Aleksandar Lambros', 'Lazar Janic']"
Veritas The Pharmacological Endgame,,['Fiction'],"ZEUS is an international organization dedicated to the eradication of certain scientific advancements to keep its members part of the global elite. The group targets any researchers or whistleblowers that may topple its position at the top of the pharmaceutical industry. The members’ influence extends all the way to the top of the major world governments. One man holds the key to stopping them. Dr. Alex Bauman joined the Molecular Fat Studies Department at Queens University in Brisbane because he wanted to help the obese. Driven by unhappiness with his own weight, Bauman stumbles upon the knowledge to create a cure for obesity. This secret is dangerous to ZEUS. They don’t want anything to affect the trillions of dollars they make on bogus obesity treatments. Presidential hopeful and California senator Marc Thwane is one of ZEUS’s members. He can’t let anything get in the way of his dark plans for the United States. When Thwane sends a black-ops team after Bauman, the two men’s destinies collide in this global adventure. Russian cosmonauts, Saudi royals, and more will help and hinder Bauman’s search for the key to taking down ZEUS once and for all.",,1,,September 4th 2016,[],Paperback,,9781532867941,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473939112l/31683094._SY475_.jpg,4.68,[],100.0,1.0,,,,98.0,44.0,478,CreateSpace Independent Publishing Platform,"['34', '8', '1', '0', '1']",,[],,"['Alessandro Boccaletti', 'Amerigo Consta']"
