title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
Warkah Eropah,,['Travelogue'],,,,,1991,[],Hardcover,,9789836221841,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1212097550l/678371.jpg,4.55,[],91.0,1.0,,,,98.0,44.0,235,Dewan Bahasa dan Pustaka,"['29', '12', '2', '0', '1']",,[],,['A. Samad Said']
Warkah Cinta Berbau Syurga,,['Novels'],"Amir Mukhlis seorang mahasiswa yang membesar dalam atmosfera agama yang subur. Hidupnya mula teruji apabila Wardah mengharapkan sebuah keputusan. Lalu Balqis muncul membawa harapan. Akibatnya, salah faham tercetus antara Amir dan teman serumahnya. Dalam kegetiran menjadi mahasiswa tahun akhir, Amir perlu menyelesaikan konflik perasaan dan persahabatan. Kesihatannya turut terjejas. Mampukah Amir membuat keputusan tepat untuk keluar dari kemelut ini?",,,,October 17th 2008,[],Paperback,,9789833603916,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1222164142l/4765019.jpg,3.94,[],92.0,1.0,,,,93.0,152.0,544,PTS Publications & Distributors,"['59', '42', '41', '3', '7']",,[],,['A. Ubaidillah Alias']
Wyvern,,"['Fantasy', 'Historical Fiction', 'Fiction', 'Adventure', 'Pirates', 'Historical', 'Historical Fantasy', 'Romance', 'Young Adult', 'Science Fiction Fantasy']","1609 was a time when navigation was more art than science, when the whole world was thought of as plunder. This is the time when Jaki Gefjon was born in the dark jungle of Borneo. A fair-skinned half-breed, Jaki is outcast as a devil child--until he emerges from the jungle and enters upon an epic adventure through violence, treachery, mysticism and love.",,,10/30/88,March 1st 1990,"['Jaki Gefron', 'Lucinda Quarles', 'Trevor Pym']",Paperback,,9780061000119,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1189625327l/201381.jpg,4.16,[],156.0,2.0,,,,94.0,454.0,693,HarperCollins (Mm),"['202', '157', '68', '20', '7']",,[],,['A. A Attanasio']
When We Were Very Young,,"['Poetry', 'Childrens', 'Classics', 'Fiction', 'Picture Books', 'Fantasy', 'Animals', 'British Literature', 'Childrens Classics', 'Juvenile']",,Winnie-the-Pooh #3,,11/28/24,October 31st 1988,[],Hardcover,,9780525444459,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198334l/821003.jpg,4.28,[],273.0,4.0,,,,96.0,22909.0,100,E.P. Dutton,"['12107', '6358', '3455', '722', '267']",,[],,"['A. A Milne', 'Ernest H. Shepard']"
Winnie-the-Pooh,,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Picture Books', 'Young Adult', 'Audiobook', 'Middle Grade', 'Juvenile']","The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.",Winnie-the-Pooh #1,Anniversary Edition,10/14/26,10/01/01,"['Winnie the Pooh (A.A. Milne)', 'Christopher Robin (A.A. Milne)', 'Piglet (A.A. Milne)', 'Owl (A.A. Milne)', 'Kanga (A.A. Milne)', 'Roo (A.A. Milne)', 'Eeyore (A.A. Milne)', 'Rabbit (A.A. Milne)']",Hardcover,,9780525467564,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130l/99107.jpg,4.34,[],219143.0,2581.0,,,,96.0,270388.0,145,Dutton Juvenile,"['151804', '73615', '33669', '7126', '4174']",,['Hundred Acre Wood (United Kingdom)'],,"['A. A Milne', 'Ernest H. Shepard']"
Winnie The Pooh: The House At Pooh Corner (The Complete Collection Of Stories),,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Young Adult', 'Juvenile']","Here's where Pooh's adventures all began. Published in 1926, this is the original Winnie-the-Pooh with illustrations by Ernest H. Shepard. Beginning with ""Winnie-the-Pooh and Some Bees,"" here are ten classic tales featuring the whole gang: Pooh, Piglet, Rabbit, Eeyore, Owl, Kanga, Little Roo, and Christopher Robin. Rmember when Pooh visits Rabbit and ""gets into a tight place"" as he attempts to enter Rabbit's house? Remember Eeyore's very eventful birthday party? Piglet's water-filled rescue? The beloved stories are all here, as A.A. Milne wrote them more than 70 years ago.",,,01/01/57,September 1st 2002,[],Hardcover,,9781405202015,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174360184l/387241._SX318_.jpg,4.48,[],163.0,2.0,,,,98.0,669.0,512,Heinemann Young Books,"['414', '178', '66', '6', '5']",,[],,"['A. A Milne', 'Ernest H. Shepard']"
Winnie-the-Pooh Meets Gopher (Little Golden Book),,"['Childrens', 'Picture Books', 'Fiction', 'Animals']",Please don't delete. This edition doesn't have an ISBN.,,,01/01/65,1974,"[""Gopher (Disney's Winnie the Pooh)"", ""Winnie the Pooh (Disney's)"", ""Rabbit (Disney's Winnie the Pooh)"", ""Christopher Robin (Disney's Winnie the Pooh)""]",Hardcover,,9780307600172,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213075238l/3416917.jpg,4.47,[],89.0,1.0,,,,97.0,666.0,22,Golden Press,"['435', '131', '83', '13', '4']",,['Hundred Acre Wood (United Kingdom)'],,"['A. A Milne', 'George Desantis']"
Winnie-the-Pooh in Scots,,['Childrens'],,,,,1926,[],Paperback,,9781845022129,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347677432l/4482960.jpg,4.53,[],79.0,1.0,,,,97.0,30.0,155,Itchy Coo,"['19', '9', '1', '1', '0']",,[],,"['A. A Milne', 'James Robertson', 'Ernest H. Shepard']"
Winter World,,"['Science Fiction', 'Fiction', 'Thriller', 'Post Apocalyptic', 'Aliens', 'Apocalyptic', 'Dystopia', 'Audiobook', 'Science Fiction Fantasy', 'Space']","A new ice age... and a shocking discovery...will change humanity forever.In the near future, a new ice age has begun.Humanity stands on the brink of extinction.Desperate for answers, scientists send probes into the solar system to take readings. Near Mars, a probe spots a mysterious object drifting toward the Sun. Is it the cause of the ice age? Or could it be our only hope of survival?With time running out, NASA launches an international mission to make contact with the object. But it isn’t what anyone thought. In the dark of space, alone, the team makes a shocking discovery that will change the course of human history—and possibly end it.",The Long Winter #1,,,February 26th 2019,[],Kindle Edition,,B07N32K12H,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548608348l/43720168._SY475_.jpg,4.09,[],274.0,3.0,,,,92.0,17725.0,418,Legion Books,"['7427', '6401', '2513', '820', '564']",,[],,['A. G Riddle']
When We Collide,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Abuse', 'Adult', 'Young Adult', 'Fantasy', 'Paranormal', 'Drama']","From the bestselling author of Pulled and Take This Regret comes a new gripping tale of loss and love.William has spent six years running from his past and the last eight months trying to rid his mind of the dreams that increasingly haunt his nights. Trapped in a world of false ambitions and feigned affections, William knows he’s reached a breaking point and something’s going to give.Maggie had lived her entire life without hope until one man showed her what it meant to be loved. He’d been her light in a lifetime of darkness. Six years ago, that darkness stole him away. Without him, she’s surrendered herself to an existence she doesn’t know how to escape.When the family William left behind is struck by tragedy, he is called back to the one place he’s sworn to never return to again.In a moment that will change his life forever, William comes face to face with the girl who, with one look, captured his heart. He is unable to ignore the buried desires and the hope for the future they’d once believed they’d have.Now William is ready to fight to take back what had been stolen from him six years before.But he never imagined what that fight might cost him.A.L. Jackson gives you an intimate look into the lives of a family bound by an unseen connection in this romantic thriller with a supernatural twist.",,,,August 7th 2012,[],ebook,,9781938404283,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472244234l/21691436._SY475_.jpg,4.07,[],299.0,4.0,,,,94.0,8846.0,340,Smashwords Edition,"['3401', '3345', '1586', '354', '160']",,[],,['A. L Jackson']
