title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
"XO, Blake",,"['New Adult', 'M M Romance', 'Romance', 'Contemporary', 'Erotica', 'Young Adult', 'Contemporary Romance', 'Fiction', 'BDSM', 'LGBT']","For fans of the dark comedy BDSM film Tie Me Up, Tie Me Down comes an erotic exploration in domination and submission where Ivy League students let their naughtiest desires run wild…If you think my besties Lex, Taddy, and Vive have had some bad luck earlier this year, cut to me at Glamorama. Last thing I remembered was dancing with Diego and Miguel from my English class, when the room started… spinning. And not in a good way! We got sick. Think Regan in The Exorcist. Taddy was rushed to the hospital. Holding on for dear life, I was carried out by the boys and taken back to their dorm.Now I’m waking up in Diego’s bed and Miguel keeps staring at me from across the room. I’ve wanted to get into these dudes’ pants since the first day of class. But Diego told me he likes to be tied up and—wait for it—spanked. WTF! The news on TV reports that last night we all got roofied. And Vive just texted me saying that someone is out to kill her. Could this semester get any more bizarre? -–Blake Morgan, college freshman, gay best friend, virginThe Undergrad Years is a new adult contemporary miniseries about first loves, independence, and everlasting friendships.",The Undergrad Years #3,,05/09/15,June 9th 2015 ,[],ebook,,9781513092478,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1426164815l/20567999.jpg,3.58,[],196.0,2.0,,,,83.0,324.0,250,,"['86', '95', '87', '32', '24']",,[],,['Avery Aster']
"X/1999, Vol. 1",Prelude,Comics & Graphic Novels,"Holding the Earth's destiny in his hands, Kamui Shiro dances between light and dark--friends and enemies--as he finds himself sought by opposing sets of occult forces.",,,,2003.0,,,1569319499,9781569319499,,http://books.google.com/books/content?id=LVUFcAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.95,,,,,,,,,200.0,,,3083.0,,,['CLAMP']
"X/1999, Volume 2",Overture,Comics & Graphic Novels,,,,,2003.0,,,1569319502,9781569319505,,http://books.google.com/books/content?id=AcdMSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02,,,,,,,,,192.0,,,1065.0,,,['CLAMP']
"xxxHolic, Vol. 18",,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Comics', 'Paranormal', 'Mystery', 'Comics Manga', 'Fiction']","Includes special extras after the story!Watanuki's vow to the witch Yuko, who has disappeared, leaves him in charge of the shop where wishes must be granted to those who meet the price. Enter a deranged customer who is determined to capture the heart of the man she is stalking. Now Watanuki may have no choice but to deliver his friend Shizuka Domeki into the arms of this unstable woman!xxxHOLiC crosses over with Tsubasa, also by CLAMP. Don't miss it!Available on DVD from FUNimation EntertainmentIncludes chapters 106-107 + Special",xxxHOLiC #18,,01/01/09,June 15th 2011,[],Paperback,,9782811604967,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370864961l/10801335.jpg,4.34,[],99.0,1.0,,,,97.0,1540.0,192,Del Rey,"['825', '479', '187', '36', '13']",,[],,['CLAMP']
"xxxHolic, Vol. 1",,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Supernatural', 'Fiction', 'Seinen', 'Comics Manga', 'Paranormal', 'Young Adult']","Watanuki Kimihiro is haunted by visions of ghosts and spirits. Seemingly by chance, he encounters a mysterious witch named Yuuko, who claims she can help. In desperation, he accepts, but realizes that he's just been tricked into working for Yuuko in order to pay off the cost of her services. Soon he's employed in her little shop--a job which turns out to be nothing like his previous work experience Most of Yuuko's customers live in Japan, but Yuko and Watanuki are about to have some unusual visitors named Sakura and Syaoran from a land called Clow. . . . XXXHolic volume one ""crosses over with ""Tsubasa volume one ""Don't miss it ""Includes special extras after the story Includes chapters 1-8",xxxHOLiC #1,,07/23/03,April 27th 2004,"['Kimihiro Watanuki', 'Yuko Ichihara', 'Sakura (CLAMP)', 'Syaoran (CLAMP)']",Paperback,,9780345470584,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388216406l/228063.jpg,4.15,[],234.0,4.0,,,,92.0,26609.0,178,Del Rey,"['13200', '7116', '4215', '1346', '732']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 2",,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Seinen', 'Fiction', 'Supernatural', 'Young Adult', 'Paranormal', 'Mystery']","WATCH OUT FOR WITCHESKimihiro Watanuki thought he had signed up with a bunch of weirdoes, and he was right! He became the unfortunate indentured servant of a woman known as Yûko Ichihara, who was widely rumored to be the time-space witch. Now his voyage through the worlds of the occult are off and running, as he and Yûko go visiting fortune tellers and horoscope readers. But can the future really be told?Meanwhile, the romance is heating up between Kimihiro and cute Himawari-chan. Then fate throws Kimihiro’s old rival back into his life. Now Yûko invites all three to a temple to tell scary stories throughout the night. Is it just for fun or is there some deeper reason?See the other side of the Tsubasa story in xxxHOLiC volume two! Don’t miss it!Includes chapters 9-15",xxxHOLiC #2,,10/16/03,June 29th 2004,"['Kimihiro Watanuki', 'Yuko Ichihara']",Paperback,,9780345471192,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921409l/228069.jpg,4.19,[],170.0,3.0,,,,94.0,4839.0,208,Del Rey,"['2305', '1512', '752', '194', '76']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 3",,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Seinen', 'Supernatural', 'Fiction', 'Paranormal', 'Young Adult', 'Mystery']","Kimihiro Watanuki is haunted by spirits–-and the only way to escape his curse is to become the indentured servant of the mysterious witch, Yûko Ichihara. But when his beloved, beautiful Himawari-chan, asks him for a favor, he and his eternal rival, the exorcist Dômeki, must go on a spirit-busting adventure without Yûko there to save them!Meanwhile Yûko gives a young woman a precious cylindrical box from her treasure room. There’s just one caveat: She must never open it. Inside is a magical device with a terrifying reputation! Can Kimihiro save an ambitious young lady from her own overconfidence? See a special appearance by the characters of Tsubasa in xxxHOLiC volume three! Don’t miss it!Includes chapters 16-22",xxxHOLiC #3,,02/29/04,October 12th 2004,[],Paperback,,9780345471819,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386921404l/228067.jpg,4.22,[],138.0,2.0,,,,95.0,4468.0,182,Del Rey,"['2191', '1393', '662', '121', '101']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 4",,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Supernatural', 'Paranormal', 'Fiction', 'Comics', 'Mystery', 'Horror']","It’s Valentine’s Day–and while Domeki is showered with chocolates and cards from girls, Watanuki receives none. To make matters worse, he must also do the usual chores for Yûko, which includes making chocolate cake for her and Mokona, as well as the treats his boss wants to give away as gifts. But when Watanuki discovers he has a shy and secret admirer who is not quite human, he finds that chocolates can be more than just sweets.Then, after seeing identical twin sisters pass by in the street, Yûko makes a curious remark: that there are chains that only humans can use to bind others. Watanuki meets the sisters and senses that the relationship between them is not what it seems. . . .xxxHOLiC crosses over with Tsubasa, also by CLAMP. Don’t miss it!Includes chapters 23-28",xxxHOLiC #4,,06/17/04,January 25th 2005,[],Paperback,,9780345477880,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924380l/228065.jpg,4.28,[],136.0,2.0,,,,97.0,3215.0,176,Del Rey Books,"['1580', '1074', '471', '71', '19']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 5",,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Seinen', 'Supernatural', 'Young Adult', 'Fiction', 'Comics Manga', 'Mystery']","Kimihiro Watanuki is the indentured servant of Yûko, the beautiful but completely unpredictable Space-Time Witch. He must work at her bizarre wish-granting shop until he can pay off his own wish: to be free of the spirits that haunt him. Yûko’s latest customer is a rain spirit who wants Kimihiro dispatched on a rescue mission. Little does Kimihiro know that this mission will take him to death’s door!Kimihiro has another problem. A cute spirit has given him a Valentine’s Day present, which means he’s obligated by Japanese custom to return the favor. What do you get a girl who may not even exist in this world?Includes chapters 29-34",xxxHOLiC #5,,January 1st 2004,May 31st 2005,"['Kimihiro Watanuki', 'Yuko Ichihara']",Paperback,,9780345477897,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388424607l/228064.jpg,4.3,[],16.0,1.0,,,,97.0,2780.0,176,Del Rey Books,"['1371', '956', '377', '56', '20']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 6",,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Seinen', 'Supernatural', 'Comics Manga', 'Mystery', 'Young Adult', 'Fiction']","Kimihiro Watanuki takes a welcome break from his grueling service to the time-space witch, Yûko Ishihara, only to find himself mixed up in the strangest parade of the Japanese magical world. But a slipup reveals that Kimihiro is a powerless human! How can he survive the festival without being eaten by its dangerous participants?Then Kimihiro meets a woman who grieves for her lost son. Since Kimihiro is an orphan, the two form an immediate bond. But what will Kimihiro do when he realizes that his wonderful new friendship may very well kill him?xxxHOLiC crosses over with Tsubasa, also by CLAMP. Don’t miss it!Includes chapters 35-42",xxxHOLiC #6,,01/01/05,October 25th 2005,"['Kimihiro Watanuki', 'Yuko Ichihara']",Paperback,,9780345477903,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924093l/228066.jpg,4.34,[],327.0,4.0,,,,98.0,2663.0,183,Del Rey Books,"['1393', '858', '355', '42', '15']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 7",,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Comics', 'Supernatural', 'Fiction', 'Mystery', 'Comics Manga', 'Young Adult']","KimihIro Watanuki has a wish on layaway with Yûko Ishikawa, the sultry time-space witch who can grant anyone’s deepest desire… for a price! Still, working like a slave in Yûko’s shop hasn’t dampened Kimihiro’s enthusiasm for his cute classmate Himawari-chan, nor his irritation with his too-cool rival Dômeki, the guy who always seems to be around during Kimihiro’s most embarrassing moments.But when Dômeki, trying to be a good samaritan, inadvertently becomes the object of a terrible grudge, Kimihiro seeks Yûko’s help. However, the cost for her assistance is steep: Kimihiro would be permanently impaired! Is such a sacrifice worth it for someone he would rather have disappear?Includes chapters 43–47.",xxxHOLiC #7,,10/17/05,May 30th 2006,[],Paperback,,9780345483355,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388452807l/228068.jpg,4.33,[],138.0,2.0,,,,97.0,2442.0,192,Del Rey Books,"['1263', '812', '304', '44', '19']",,[],,"['CLAMP', 'William Flanagan']"
"xxxHolic, Vol. 8",,"['Manga', 'Fantasy', 'Graphic Novels', 'Seinen', 'Comics', 'Supernatural', 'Comics Manga', 'Mystery', 'Fiction', 'Young Adult']","Kimihiro Watanuki’s after-school job working for the mysterious witch Yûko Ishikawa has taken a dangerous turn. A recent assignment cost Kimihiro his right eye to a spider with a grudge. Now the missing eye has become the latest must-have item in the spirit world. Even the Zashiki-Warashi, the pretty spirit who has a crush on Kimihiro, has become entangled in the mess . . . and she’s being held captive by an unknown evil! Can Kimihiro save both the girl and his eye–without getting himself killed by beings more powerful than he can imagine?Includes chapters 48-51",xxxHOLiC #8,,10/30/99,December 12th 2006,[],Paperback,,9780345483362,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924435l/228062.jpg,4.35,[],136.0,2.0,,,,98.0,2694.0,182,Del Rey Books,"['1436', '852', '344', '50', '12']",,[],,"['CLAMP', 'William Flanagan']"
