title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
You Were Mine,,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult', 'Drama', 'Fiction', 'Love']","From #1 ""New York Times"" bestselling author Abbi Glines comes a brand-new Rosemary Beach novel about Tripp Newark and his hidden romantic past with Bethy Lowry. In the eyes of the wealthy playboys who frequent Kerrington Country Club in Rosemary Beach, Tripp Newark is a hero. Under pressure from his parents to become a lawyer and lead a conservative, upper-class life, Tripp disappeared from town five years ago to travel the world, forfeiting the opportunity to inherit millions. Yet few know what he was really running from...Bethy Lowry was unraveling long before her boyfriend drowned in a riptide trying to save her after she'd had one too many drinks--again. A trailer park kid working as a cart girl among the wealthy patrons of Kerrington Country Club, Bethy has always been impressionable. But five years ago, before she earned her reputation as a hard-drinking, easy girl, she had spent a single summer with Tripp Newark that changed her life forever...",Rosemary Beach #9,,,December 2nd 2014,"['Tripp Newark', 'Bethy Lowry']",Paperback,,9781476776071,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402067293l/21411887.jpg,4.24,[],171.0,2.0,,,,97.0,22509.0,256,Atria Books,"['10297', '8280', '3159', '603', '170']",,[],,['Abbi Glines']
You are the Best Wife,,"['Romance', 'Fiction', 'Indian Literature', 'Love', 'Love Story', 'Contemporary', 'Novels', 'Romantic']","Ajay believes in living for himself; Bhavna teaches him to live for others. Ajay isa planner for life; Bhavna makes him live in every moment.You are the Best Wife is a story of two people with contradictory ideologies whofall in love. It changes them for good. It changes the way they look at the worldand the way the world looks at them. Until destiny reveals its plans.This is a true inspiring story of the author and his struggle with life, after hisbeloved wife left him halfway through their journey. But her last words, ‘you arethe best husband’ gave him the strength to live on, and fulfil his promise of love.Told with frankness and doses of humor, this heartwarming tale of a boy and agirl who never gave up on their love in face of adversities, ends on a bittersweetand poignant note as Ajay comes to terms with the biggest lesson life has tooffer.",,,,November 1st 2015,[],Kindle Edition,,B01F3ZO566,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462984695l/30169645._SY475_.jpg,4.11,[],32.0,1.0,,,,92.0,6108.0,250,Srishti Publishers & Distributors,"['2805', '1840', '997', '282', '184']",,[],,['Ajay K. Pandey']
You Can't and Won't Stop Me From My Purpose,,[],"Even though I would love to share with you so many things about this book, I will have to just keep you focused on the title of it. I want you to hold on and grasp the title with all your strength and might. This book is the food and survival source that you need for any problem, situation, addiction or issue. This book holds a dynamic way for all ages to easily grasp on to the message that has been created for Israel, Jerusalem, Bethlehem, Calvary, Africa, America, Jamaica, Trinidad, Mexico, Puerto Rico, Costa Rico, Hawaii, Canada and The Entire World, all nations, colors, creeds, denominations including all the places where Jesus reigned, lived and performed miracles and where the anointed, appointed, prophets, messengers, teachers, elders and priests has walked, traveled and lived.",,,,February 19th 2014,[],Paperback,,9781496006578,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400846508l/20906224.jpg,5.0,[],98.0,1.0,,,,100.0,1.0,104,Createspace Independent Publishing Platform,[],,[],,['Aleja Bennett']
Yoga Time,,[],"A graphic novel- adventures, science fiction, mystic, very light funny erotica. A young man named Indy, certified yoga master in his 18 years of age, comes from a small town to study in the college the theory of magic.  At the moment Indy is living with his girlfriend Allis, 26 in the house of her mother Tesha.  Tesha, a pretty, attractive woman, had suffered an attack of unusual weakness and dizziness right when a part from “The Great Book of Yoga” was being read by Indy in his full voice.  Tesha is a lady with modern and progressive views, is an employee of a scientifically oriented industrial plant. Her bravery and decisiveness was the reason someone named her the “Witch”.  Even more things happen. Somehow, she was able to purchase a very specific “Opus D” photo camera. That camera is known in a very narrow circle of professionals and was considered by them like a magic property item. But, how can a devise made out of metal and plastic parts be magic? In this case, any machine can possess magic properties.  Tesha, in spite of being a very pretty woman is sad for some unpleasant circumstances in her life: she has not practiced love for about two years already. She became depressed about this until she met some young men who represented themselves as…angels. And more things were happen. ",,,,January 2nd 2016,[],Kindle Edition,,B01A3SL1KG,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452527368l/28511883._SX318_.jpg,4.77,[],180.0,2.0,,,,95.0,39.0,,Global Graphics,"['35', '2', '0', '1', '1']",,[],,['Alex Letner']
You're The One That I Don't Want,,"['Chick Lit', 'Romance', 'Contemporary', 'Fiction', 'Adult', 'Young Adult', 'Contemporary Romance', 'Humor', 'Magic', 'Magical Realism']","How do you know he's The One?Are you getting butterflies just thinking about him?Have you dreamt of marrying him?Do you just know?When Lucy meets Nate in Venice, she knows instantly he's The One. And, caught up in the whirlwind of first love, they kiss under the Bridge of Sighs at sunset. Which - according to legend - will tie them together forever. But ten years later, they've completely lost contact. That is, until Lucy moves to New York and the legend brings them back together. Again. And again. And again. But what if Nate isn't The One? How is she going to get rid of him? Because forever could be a very long time...A funny, magical romantic comedy about how finding The One doesn't always have to mean happily ever after.",,,10/28/10,June 1st 2010,[],Paperback,,9780340954133,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327924352l/7992964.jpg,3.49,[],258.0,3.0,,,,84.0,4226.0,387,Hodder & Stoughton,"['834', '1253', '1446', '533', '160']",,['New York State (United States)'],,['Alexandra Potter']
Yearbook,,"['Young Adult', 'Lds Fiction', 'Lds', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Clean Romance', 'High School', 'Christian', 'Romance']","It was the first day of school at Lakeview High, and everyone was afraid of something. Michaela Choi was afraid that Ethan Back was never going to ask her out on a date. Andrea Beck was afraid that someone would find her weak spot, the chink in her armor. She was afraid of knowing what it was herself. Principal Downing was afraid she was going to die. Julie Reid was afraid that no one would notice her. She was also afraid that someone would. And there was a deeper, unnamed fear inside her that she couldn't escape - a fear that she was nothing and no one . . . Yearbook is a captivating story about relationships and heartaches and fears and ideas and doubts and testimonies and everything that a teenage mind and a backpack can contain. But most important, Yearbook is a novel about how everyone has something to offer and something to learn.",Yearbook Trilogy #1,,,September 15th 2006,[],Paperback,,9781590386903,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266828929l/1542403.jpg,3.83,[],189.0,2.0,,,,92.0,1339.0,231,Shadow Mountain,"['393', '456', '387', '75', '28']",,[],,['Ally Condie']
Yoga The Science of Well-Being,,"['Inspirational', 'Self Help', 'Spirituality']","This book covers yoga as a part of comprehensive human well-being strategy. The wide scope of yoga as a policy of well-being is explained. Traditionally, science of well-being has been considered as a branch of social science. However, it is currently considered as an interdisciplinary science that collaborates with other fields such as medicine, neuroscience, neurobiology, physiology, chemistry, psychology, genetics, behavioral science, social science and economics. Science of well-being includes physical well-being, mental well-being, spiritual well-being and social well-being. In the book Dr. Ray explains how yoga is related to all these four aspects of well-being. Yoga has four central components: physical yoga, energy yoga, action-yoga and wisdom-yoga. Each of these four domains is related to a different meaning of the scientifically clumsy term “well-being,” and each has its own road to happiness. . Throughout the life our song changes, in the young age we need education at the older age we need protection and care. Therefore life has many levels of well-being. Yoga deals with all levels of well-being in a systematic manner. The author does a great job explaining what yoga can offer for the well-being of individual and for the society as a whole.",,,,June 21st 2016,[],,,9789382123392,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466768310l/30742690._SY475_.jpg,4.93,[],98.0,1.0,,,,100.0,28.0,120,,"['26', '2', '0', '0', '0']",,[],,['Amit Ray']
You were the Soul to my Existence,,['Poetry'],"You were the Soul to my Existence is a pure example of how the one you love is nothing else but the soul of one's existence and after it's gone, your life becomes lifeless like leaves do in Autumn. Amna Dhanani has continued the story from where she had left in her debut poetry book My Existence Craves Yours, giving every poem a special place in the flow once more, although You were the Soul to my Existence contains many different elements like heartbreaks of many kinds, traumatic childhood, infinite love in finite time, hardships, self-healing and growth.",,,,September 1st 2019,[],ebook,,B07WZV8GDZ,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567054915l/52754188._SX318_SY475_.jpg,4.48,[],100.0,1.0,,,,96.0,23.0,190,Amna Dhanani,"['17', '2', '3', '0', '1']",,[],,['Amna Dhanani']
Yes Please,,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography', 'Comedy', 'Autobiography', 'Biography Memoir', 'Feminism', 'Adult']","In Amy Poehler’s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy’s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live by.",,,,October 28th 2014,[],Hardcover,,9780062268341,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402815435l/20910157.jpg,3.83,"['Audie Award for Humor (2015)', 'Grammy Award Nominee for Best Spoken Word Album (2016)', 'Australian Book Industry Award (ABIA) Nominee for International Book (2015)', 'Goodreads Choice Award for Humor (2014)']",815.0,9.0,,,,90.0,430084.0,329,Dey St.,"['133258', '148607', '104845', '29072', '14302']",,"['Burlington, Massachusetts (United States)', 'Chicago, Illinois (United States)', 'New York City, New York (United States)']",,['Amy Poehler']
Year of the Unicorn,,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'High Fantasy', 'Romance', 'Epic Fantasy', 'Speculative Fiction', 'Novels']","There is a prequel called Horn Crown, http://www.goodreads.com/book/show/11...Andre Norton enthralled readers for decades with thrilling tales of people challenged to the limits of their endurance in epic battles of good against evil. None are more memorable than her Witch World novels.Far from the besieged home of Simon and Jaelithe, in peaceful Norsdale, we meet Gillan, who longs to leave her dull life in a secluded country abbey. But when her wish comes true, she finds more than a little adventure. As she ventures out, not only is her life in danger, but also the power that lies within her, waiting to be discovered.",Witch World Series 2: High Hallack Cycle #1,,1965,1977,"['Gillan', 'Herrel', 'Hyron']",Hardcover,,9780839823568,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448648513l/462389._SX318_.jpg,3.91,[],27.0,2.0,,,,94.0,1527.0,224,Gregg Press,"['488', '531', '410', '86', '12']",,[],,['Andre Norton']
