title,subtitle,categories,description,series,edition,firstPublishDate,published_year,characters,format,isbn10,isbn13,asin,image_url,average_rating,awards,bbeScore,bbeVotes,isBestSeller,isEditorsPick,isGoodReadsChoice,likedPercent,numRatings,pages,publisher,ratingsByStars,ratings_count,setting,soldBy,author_list
"Zend-Avesta, Ouvrage De Zoroastre (Myth & romanticism)",,[],,,,10/30/84,June 1st 1984,[],Hardcover,,9780824035501,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476320645l/611057._SX318_.jpg,5.0,[],96.0,1.0,,,,100.0,1.0,1904,Taylor & Francis,[],,[],,['A. H Anquetil-Duperron']
Zac and Mia,,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Australia', 'Illness', 'Teen', 'Young Adult Contemporary']","When I was little I believed in Jesus and Santa, spontaneous combustion, and the Loch Ness monster. Now I believe in science, statistics, and antibiotics.So says seventeen-year-old Zac Meier during a long, grueling leukemia treatment in Perth, Australia. A loud blast of Lady Gaga alerts him to the presence of Mia, the angry, not-at-all-stoic cancer patient in the room next door. Once released, the two near-strangers can’t forget each other, even as they desperately try to resume normal lives. The story of their mysterious connection drives this unflinchingly tough, tender novel told in two voices.",,,,July 24th 2013,[],Paperback,,9781922147257,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372227353l/15757486.jpg,3.68,"[""Text Prize for YA and Children's Writing (2012)"", 'Dioraphte Jongerenliteratuurprijs Nominee for vertaald boek (2015)', 'The Inky Awards Nominee for Gold Inky (2014)']",187.0,2.0,,,,90.0,10511.0,310,Text Publishing,"['2202', '3988', '3281', '817', '223']",,"['Perth, Western Australia (Australia)']",,['A. J Betts']
Zomb,,[],,,,,,[],,,9999999999999,,,4.4,[],90.0,1.0,,,,100.0,5.0,,,"['3', '1', '1', '0', '0']",,[],,['A. G Apolloni']
Zebra Forest,,"['Middle Grade', 'Realistic Fiction', 'Historical Fiction', 'Young Adult', 'Fiction', 'Family', 'Childrens', 'Mystery', 'Juvenile', 'Suspense']","In an extraordinary debut novel, an escaped fugitive upends everything two siblings think they know about their family, their past, and themselves.When eleven-year-old Annie first started lying to her social worker, she had been taught by an expert: Gran. ""If you’re going to do something, make sure you do it with excellence,"" Gran would say. That was when Gran was feeling talkative, and not brooding for days in her room — like she did after telling Annie and her little brother, Rew, the one thing they know about their father: that he was killed in a fight with an angry man who was sent away. Annie tells stories, too, as she and Rew laze under the birches and oaks of Zebra Forest — stories about their father the pirate, or pilot, or secret agent. But then something shocking happens to unravel all their stories: a rattling at the back door, an escapee from the prison holding them hostage in their own home, four lives that will never be the same. Driven by suspense and psychological intrigue, Zebra Forest deftly portrays an unfolding standoff of truth against family secrets — and offers an affecting look at two resourceful, imaginative kids as they react and adapt to the hand they’ve been dealt.",,,04/01/13,April 9th 2013,[],Hardcover,,9780763660413,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351213430l/15798672.jpg,3.75,"[""Dorothy Canfield Fisher Children's Book Award Nominee (2015)"", 'The Magnolia Award Nominee for 6-8 (2016)']",95.0,1.0,,,,90.0,3387.0,208,Candlewick Press,"['850', '1289', '893', '258', '97']",,[],,['Adina Rishe Gewirtz']
"Zilver, of, Het verlies van de onschuld",,"['Novels', 'Fiction', 'Roman', 'Literature', 'Dutch Literature']","Zilver, een weeskind, groeit op onder de hoede van een pinnige en liefdeloze gouvernante. Na geld te hebben ontvreemd uit de huishoudkas, wordt Zilver voor een strengere opvoeding naar een internaat in de Achterhoek gestuurd. Onder het harde internaatsregime wordt de puber Zilver door schade en schande wijzer en wordt hij man. In precieuze, poetische en soms iets gekunstelde bewoordingen schetst de auteur het seksueel ontluiken ('of het verlies van de onschuld') van zijn wat dromerige en sensitieve hoofdpersoon in een sfeer van Nederland in de jaren '50/'60. Met 'Zilver' trekt de auteur naar thematiek en toonzetting de lijn voort die hij begonnen is in zijn prozadebuut ""Nathan Sid"" uit 1984.'Zelden smaakt wat wrang is zo zoet, worden logge gevoelens zo charmant bezworen, klinken duistere woelingen zo helder'. Hans Warren in Provinciale Zeeuwse courant",,,,1988,[],Paperback,,9789029039390,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1294880504l/1019149.jpg,3.22,[],99.0,1.0,,,,81.0,329.0,159,Meulenhoff,"['24', '101', '143', '45', '16']",,[],,['Adriaan van Dis']
Zemsta,,"['Polish Literature', 'Classics', 'School', 'Plays', 'Drama', 'Fiction', 'Comedy', 'Humor', '19th Century', 'Poland']","Zemsta należy do najbardziej znanych komedii Fredry. Akcja rozgrywa się w zamku, którego dwie części zamieszkują skłóceni ze sobą Cześnik Raptusiewicz i Rejent Milczek.",,,11/06/34,2007,"['Perełka', 'Rejent Milczek', 'Cześnik Maciej Raptusiewicz', 'Klara Raptusiewiczówna', 'Józef Papkin', 'Podstolina Hanna Czepiersińska', 'Wacław Milczek', 'Dyndalski', 'Śmigalski']",Hardcover,,9788373896796,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374149986l/1841669.jpg,3.37,[],79.0,1.0,,,,80.0,5316.0,120,Zielona Sowa,"['798', '1639', '1812', '846', '221']",,[],,['Aleksander Fredro']
Z Troop The Marrakech Gamble: A Conner Ryan Series,,[],"Ex-SAS soldier Conner Ryan is blackmailed by the British security services who know about the murder of Conner’s former SAS Officer. Forced to return to the military and the barbaric penal unit titled ‘Z Troop’ Conner finds himself back on the lawless bloody streets of a united Ireland only this time fighting a new brutal civil war alongside the Irish Defence Forces against a fanatical Loyalist terrorist group its ranks swelled with former British soldiers incensed at the betrayal by the British Government.  Wrongly blamed for the assassination of a notorious Loyalist leader Billy ‘chainsaw’ Black in Catalonia Conner and his family are targeted for revenge. Sent to Kenya for continuation training Conner is unaware of the threat to his wife and boys on two fronts the Irish Loyalists and his own terrorist brother Declan O’Malley aka Javed Kassem Hanadani now working for Iranian intelligence. The cruel treatment at the hands of ‘Z Troop’ finally pushes Conner to breaking point unable to protect his loved ones. Once again, it’s up to his best friend Russian ex-Spetsnaz soldier Alexi Grebenshchikov who was also sent to ‘Z Troop’ from the notorious Black Dolphin prison in Russia to fight alongside SAS/SBS soldiers in Morocco in a near suicide mission against Hezbollah fighters to protect Conner’s family and finally try to kill O’Malley. Operation Paperclip is a huge gamble with the British security services using Conner’s son as bait. Will the Marrakech gamble pay off?   ",,,,November 29th 2018,[],Kindle Edition,,B07L163W1N,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543699338l/43072813._SY475_.jpg,4.67,[],99.0,1.0,,,,100.0,6.0,251,A McNally Publishing,"['4', '2', '0', '0', '0']",,[],,['Anthony McNally']
Zettels Traum,,"['Fiction', 'German Literature', 'Germany', 'Classics', 'Literature', '20th Century']","Vor 40 Jahren veröffentlichte Arno Schmidt sein wichtigstes Werk, Zettel's Traum: 1334 DIN-A-3-Seiten stark, über zehn Kilogramm schwer und als Faksimile vervielfältigt. Schmidts eigene Befürchtung – »Es wird sich nicht mehr setzen lassen« – hatte sich bewahrheitet. Vor dem komplexen Layout des dreispaltigen Romans mit seinen zahlreichen Randglossen kapitulierten Setzerei und Verlag.Nun endlich erscheint Zettel's Traum, das Werk, das Arno Schmidt auf einen Schlag berühmt machte, als gesetztes Buch. Jahrelange Arbeit von Setzern, Editoren und Korrektoren war nötig, um einen lesefreundlichen Schriftsatz herzustellen, ohne den Charakter des »Überbuchs« (Arno Schmidt) zu verändern und seine Eigenheiten zu glätten.Mit dieser Ausgabe gilt es, einen Riesenroman neu zu entdecken: Er erzählt die Liebesgeschichte zwischen dem alternden Schriftsteller Daniel Pagenstecher und der sechzehnjährigen Franziska Jacobi und von Leben und Werk Edgar Allan Poes. Er entwirft eine eigene Literaturtheorie in der Nachfolge Sigmund Freuds und entwickelt wie nebenbei eine neue Rechtschreibung, die zum Beispiel die wahren Eigenschaften eines »Pleas'-see=Rocks« enthüllt. In Zettels' Traum finden Arno Schmidts Bemühungen um eine moderne Prosaform und eine angemessene sprachliche Abbildung des menschlichen Bewusstseins ihren vorläufigen Höhepunkt.",,,11/06/70,2013,[],Hardcover,,9783596505609,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365691063l/6761655.jpg,4.34,[],87.0,1.0,,,,96.0,73.0,1334,S. Fischer Verlag,"['43', '16', '11', '2', '1']",,['Germany'],,['Arno Schmidt']
Zami: A New Spelling of My Name,,"['Nonfiction', 'Memoir', 'Feminism', 'LGBT', 'Queer', 'Race', 'Biography', 'African American', 'Autobiography', 'Poetry']","ZAMI is a fast-moving chronicle. From the author's vivid childhood memories in Harlem to her coming of age in the late 1950s, the nature of Audre Lorde's work is cyclical. It especially relates the linkage of women who have shaped her . . . Lorde brings into play her craft of lush description and characterization. It keeps unfolding page after page.
--Off Our Backs",,,,January 1st 1982,[],Paperback,,9780895941220,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388344915l/395220.jpg,4.3,[],42.0,1.0,,,,96.0,13743.0,256,Crossing Press,"['7245', '4227', '1657', '381', '233']",,[],,['Audre Lorde']
Zogj dhe Gurë,,[],,,,,,[],,,9999999999999,,,5.0,[],89.0,1.0,,,,,1.0,,,[],,[],,['Azem Shkreli']
